State,Race and Hispanic origin,Total Population,Total Citizen Population,"Percent registered
(Citizen)",Margin of Error1,Total registered,"Percent registered
(Total)",Margin of Error,Total voted,"Percent voted
(Total)",Margin of Error,Year
MINNESOTA,Total,"4,104","3,933",71.8,2.2,"2,822",68.8,2.2,"2,047",49.9,2.4,2014
MINNESOTA,Male,"2,007","1,924",70,3.2,"1,346",67.1,3.2,974,48.5,3.4,2014
MINNESOTA,Female,"2,097","2,009",73.5,3,"1,476",70.4,3,"1,073",51.2,3.3,2014
MINNESOTA,White alone,"3,670","3,579",74.5,2.2,"2,667",72.7,2.2,"1,958",53.4,2.5,2014
MINNESOTA,.White non-Hispanic alone,"3,538","3,517",74.6,2.2,"2,623",74.1,2.2,"1,925",54.4,2.5,2014
MINNESOTA,Black alone,196,155,53.6,12.9,83,42.5,14.7,34,17.2,9.9,2014
MINNESOTA,Asian alone,112,78,43.7,16.7,34,30.5,21.5,29,25.9,15.8,2014
MINNESOTA,Hispanic (of any race),183,100,47.8,15.5,48,26.2,23.7,34,18.4,13.6,2014
MINNESOTA,White alone or in combination,"3,715","3,624",74.2,2.2,"2,688",72.4,2.2,"1,969",53,2.5,2014
MINNESOTA,Black alone or in combination,220,179,55.5,12.3,99,45.3,13.6,40,18,9.5,2014
MINNESOTA,Asian alone or in combination,119,85,42.4,16.1,36,30.3,20.5,31,26,15.4,2014
MISSISSIPPI,Total,"2,182","2,142",76,2.2,"1,628",74.6,2.2,907,41.6,2.5,2014
MISSISSIPPI,Male,"1,028","1,008",73.4,3.3,740,72,3.3,413,40.2,3.6,2014
MISSISSIPPI,Female,"1,154","1,135",78.3,2.9,888,77,2.9,493,42.8,3.4,2014
MISSISSIPPI,White alone,"1,352","1,326",72.6,2.9,964,71.3,2.9,536,39.7,3.1,2014
MISSISSIPPI,.White non-Hispanic alone,"1,308","1,303",72.8,2.9,948,72.5,2.9,525,40.2,3.2,2014
MISSISSIPPI,Black alone,769,768,83.3,3.9,639,83.2,3.9,357,46.4,5.2,2014
MISSISSIPPI,Asian alone,27,21,(B),(B),5,(B),(B),1,(B),(B),2014
MISSISSIPPI,Hispanic (of any race),60,32,(B),(B),17,(B),(B),13,(B),(B),2014
MISSISSIPPI,White alone or in combination,"1,377","1,344",72.5,2.9,975,70.8,2.9,540,39.2,3.1,2014
MISSISSIPPI,Black alone or in combination,779,773,83.2,3.9,644,82.6,3.8,361,46.3,5.1,2014
MISSISSIPPI,Asian alone or in combination,33,28,(B),(B),11,(B),(B),3,(B),(B),2014
MISSOURI,Total,"4,505","4,429",72.1,2.1,"3,194",70.9,2.1,"1,713",38,2.2,2014
MISSOURI,Male,"2,172","2,144",70.6,3,"1,514",69.7,3,863,39.7,3.2,2014
MISSOURI,Female,"2,333","2,285",73.5,2.8,"1,680",72,2.8,850,36.4,3,2014
MISSOURI,White alone,"3,861","3,814",73.1,2.2,"2,788",72.2,2.2,"1,497",38.8,2.4,2014
MISSOURI,.White non-Hispanic alone,"3,779","3,773",73.3,2.2,"2,766",73.2,2.2,"1,487",39.4,2.4,2014
MISSOURI,Black alone,485,479,67.9,7.9,325,67.1,7.9,177,36.5,8.1,2014
MISSOURI,Asian alone,76,53,(B),(B),39,(B),(B),13,(B),(B),2014
MISSOURI,Hispanic (of any race),88,47,(B),(B),28,(B),(B),15,(B),(B),2014
MISSOURI,White alone or in combination,"3,917","3,870",72.8,2.2,"2,817",71.9,2.2,"1,510",38.6,2.4,2014
MISSOURI,Black alone or in combination,508,503,68.5,7.7,344,67.7,7.7,187,36.7,7.9,2014
MISSOURI,Asian alone or in combination,93,70,(B),(B),48,(B),(B),18,(B),(B),2014
MONTANA,Total,788,782,64.8,2.2,506,64.3,2.2,391,49.7,2.3,2014
MONTANA,Male,392,389,64.2,3.2,250,63.7,3.2,191,48.7,3.3,2014
MONTANA,Female,396,393,65.4,3.2,257,64.8,3.2,201,50.7,3.3,2014
MONTANA,White alone,728,725,66.6,2.3,483,66.4,2.3,380,52.2,2.4,2014
MONTANA,.White non-Hispanic alone,714,711,66.5,2.3,473,66.3,2.3,372,52.2,2.5,2014
MONTANA,Black alone,3,3,(B),(B),3,(B),(B),-,(B),(B),2014
MONTANA,Asian alone,5,2,(B),(B),2,(B),(B),2,(B),(B),2014
MONTANA,Hispanic (of any race),16,16,(B),(B),11,(B),(B),8,(B),(B),2014
MONTANA,White alone or in combination,742,739,65.8,2.3,486,65.5,2.3,382,51.5,2.4,2014
MONTANA,Black alone or in combination,3,3,(B),(B),3,(B),(B),-,(B),(B),2014
MONTANA,Asian alone or in combination,5,2,(B),(B),2,(B),(B),2,(B),(B),2014
NEBRASKA,Total,"1,400","1,306",66.9,2.6,873,62.4,2.6,579,41.4,2.6,2014
NEBRASKA,Male,688,635,65.3,3.7,415,60.3,3.8,286,41.6,3.8,2014
NEBRASKA,Female,712,671,68.3,3.6,459,64.4,3.6,293,41.1,3.7,2014
NEBRASKA,White alone,"1,295","1,222",67.6,2.7,826,63.8,2.7,552,42.6,2.8,2014
NEBRASKA,.White non-Hispanic alone,"1,165","1,160",69.2,2.7,803,69,2.7,541,46.5,2.9,2014
NEBRASKA,Black alone,55,53,(B),(B),36,(B),(B),21,(B),(B),2014
NEBRASKA,Asian alone,22,7,(B),(B),3,(B),(B),-,(B),(B),2014
NEBRASKA,Hispanic (of any race),135,65,(B),(B),26,(B),(B),13,(B),(B),2014
NEBRASKA,White alone or in combination,"1,306","1,232",67.4,2.7,830,63.6,2.7,555,42.5,2.7,2014
NEBRASKA,Black alone or in combination,65,62,(B),(B),36,(B),(B),21,(B),(B),2014
NEBRASKA,Asian alone or in combination,22,7,(B),(B),3,(B),(B),-,(B),(B),2014
NEVADA,Total,"2,128","1,858",58.5,2.6,"1,088",51.1,2.7,693,32.6,2.4,2014
NEVADA,Male,"1,055",924,56.7,3.7,524,49.7,3.9,348,33,3.4,2014
NEVADA,Female,"1,073",934,60.4,3.6,564,52.5,3.8,345,32.2,3.4,2014
NEVADA,White alone,"1,571","1,388",61,3,846,53.8,3.1,573,36.5,2.9,2014
NEVADA,.White non-Hispanic alone,"1,143","1,106",62.4,3.4,690,60.4,3.5,488,42.7,3.5,2014
NEVADA,Black alone,193,191,65.2,9.9,124,64.6,10,61,31.6,9.7,2014
NEVADA,Asian alone,181,130,38,10,49,27.2,12.8,25,14,7.8,2014
NEVADA,Hispanic (of any race),527,351,53.9,7.8,189,35.9,10,97,18.4,6.3,2014
NEVADA,White alone or in combination,"1,626","1,424",60.5,2.9,862,53,3.1,585,36,2.8,2014
NEVADA,Black alone or in combination,203,201,65.3,9.7,131,64.7,9.7,62,30.6,9.3,2014
NEVADA,Asian alone or in combination,193,142,41.8,10,59,30.6,12.5,30,15.7,7.9,2014
NEW HAMPSHIRE,Total,"1,047","1,015",68.3,2.4,694,66.3,2.4,509,48.6,2.6,2014
NEW HAMPSHIRE,Male,512,498,66.5,3.5,331,64.6,3.5,246,48.1,3.7,2014
NEW HAMPSHIRE,Female,535,517,70.1,3.4,363,67.8,3.3,263,49.2,3.6,2014
NEW HAMPSHIRE,White alone,996,977,68.5,2.5,669,67.1,2.5,490,49.2,2.6,2014
NEW HAMPSHIRE,.White non-Hispanic alone,974,957,68.4,2.5,655,67.2,2.5,480,49.3,2.7,2014
NEW HAMPSHIRE,Black alone,15,12,(B),(B),7,(B),(B),4,(B),(B),2014
NEW HAMPSHIRE,Asian alone,23,13,(B),(B),7,(B),(B),6,(B),(B),2014
NEW HAMPSHIRE,Hispanic (of any race),23,21,(B),(B),15,(B),(B),10,(B),(B),2014
NEW HAMPSHIRE,White alone or in combination,"1,006",986,68.6,2.5,676,67.3,2.5,496,49.4,2.6,2014
NEW HAMPSHIRE,Black alone or in combination,18,15,(B),(B),9,(B),(B),6,(B),(B),2014
NEW HAMPSHIRE,Asian alone or in combination,25,15,(B),(B),9,(B),(B),7,(B),(B),2014
NEW JERSEY,Total,"6,820","5,909",66.3,1.8,"3,919",57.5,1.9,"2,151",31.5,1.7,2014
NEW JERSEY,Male,"3,277","2,825",64,2.6,"1,808",55.2,2.7,969,29.6,2.4,2014
NEW JERSEY,Female,"3,543","3,084",68.5,2.5,"2,112",59.6,2.5,"1,182",33.4,2.4,2014
NEW JERSEY,White alone,"5,146","4,645",68,2,"3,161",61.4,2.1,"1,771",34.4,2,2014
NEW JERSEY,.White non-Hispanic alone,"4,036","3,912",69.1,2.2,"2,705",67,2.2,"1,527",37.8,2.3,2014
NEW JERSEY,Black alone,953,779,63.6,5.9,496,52,6.3,276,29,5.4,2014
NEW JERSEY,Asian alone,641,425,53.2,7.2,226,35.3,9.2,82,12.9,5,2014
NEW JERSEY,Hispanic (of any race),"1,229",805,61.7,6.6,497,40.4,8.1,274,22.3,5.6,2014
NEW JERSEY,White alone or in combination,"5,194","4,682",68,2,"3,183",61.3,2.1,"1,782",34.3,2,2014
NEW JERSEY,Black alone or in combination,972,798,64,5.8,511,52.5,6.2,276,28.4,5.3,2014
NEW JERSEY,Asian alone or in combination,655,438,54.1,7.1,237,36.2,9.1,93,14.3,5.2,2014
NEW MEXICO,Total,"1,536","1,417",64.9,2.3,919,59.9,2.4,646,42.1,2.3,2014
NEW MEXICO,Male,739,676,64.1,3.4,433,58.7,3.4,304,41.1,3.4,2014
NEW MEXICO,Female,797,740,65.6,3.2,486,61,3.3,342,42.9,3.3,2014
NEW MEXICO,White alone,"1,234","1,125",66.9,2.6,753,61,2.6,546,44.2,2.6,2014
NEW MEXICO,.White non-Hispanic alone,674,661,72.4,3.3,479,71,3.2,374,55.5,3.6,2014
NEW MEXICO,Black alone,40,39,(B),(B),28,(B),(B),8,(B),(B),2014
NEW MEXICO,Asian alone,33,26,(B),(B),13,(B),(B),11,(B),(B),2014
NEW MEXICO,Hispanic (of any race),601,503,60,6,302,50.2,6.4,179,29.8,5.5,2014
NEW MEXICO,White alone or in combination,"1,254","1,144",66.5,2.6,761,60.7,2.6,553,44.1,2.6,2014
NEW MEXICO,Black alone or in combination,47,46,(B),(B),30,(B),(B),10,(B),(B),2014
NEW MEXICO,Asian alone or in combination,35,28,(B),(B),13,(B),(B),11,(B),(B),2014
NEW YORK,Total,"15,274","13,611",59.4,1.2,"8,078",52.9,1.3,"4,680",30.6,1.1,2014
NEW YORK,Male,"7,294","6,460",56.9,1.8,"3,679",50.4,1.9,"2,131",29.2,1.6,2014
NEW YORK,Female,"7,980","7,150",61.5,1.7,"4,399",55.1,1.8,"2,548",31.9,1.6,2014
NEW YORK,White alone,"11,147","10,287",60.1,1.4,"6,185",55.5,1.5,"3,683",33,1.4,2014
NEW YORK,.White non-Hispanic alone,"9,385","8,994",60.8,1.6,"5,471",58.3,1.6,"3,321",35.4,1.5,2014
NEW YORK,Black alone,"2,581","2,211",62.6,3.6,"1,385",53.7,3.8,762,29.5,3.3,2014
NEW YORK,Asian alone,"1,206",807,45.4,5.1,366,30.4,6.8,156,13,3.7,2014
NEW YORK,Hispanic (of any race),"2,394","1,784",55.8,4.8,995,41.6,5.7,502,21,4,2014
NEW YORK,White alone or in combination,"11,351","10,476",59.8,1.4,"6,262",55.2,1.5,"3,730",32.9,1.4,2014
NEW YORK,Black alone or in combination,"2,734","2,342",62.1,3.5,"1,454",53.2,3.7,799,29.2,3.2,2014
NEW YORK,Asian alone or in combination,"1,269",867,45.2,5,392,30.9,6.5,175,13.8,3.7,2014
NORTH CAROLINA,Total,"7,412","6,857",69.7,1.7,"4,779",64.5,1.7,"3,170",42.8,1.8,2014
NORTH CAROLINA,Male,"3,510","3,204",68,2.5,"2,178",62,2.5,"1,428",40.7,2.5,2014
NORTH CAROLINA,Female,"3,902","3,654",71.2,2.3,"2,601",66.7,2.3,"1,742",44.6,2.4,2014
NORTH CAROLINA,White alone,"5,415","5,004",70.9,2,"3,545",65.5,2,"2,325",42.9,2.1,2014
NORTH CAROLINA,.White non-Hispanic alone,"4,878","4,852",71.3,2,"3,461",71,2,"2,290",46.9,2.2,2014
NORTH CAROLINA,Black alone,"1,572","1,527",68.1,4.4,"1,040",66.1,4.4,735,46.7,4.6,2014
NORTH CAROLINA,Asian alone,190,99,59.1,12.9,59,30.8,19,26,13.5,9.5,2014
NORTH CAROLINA,Hispanic (of any race),602,204,52.3,7.5,107,17.7,16.8,53,8.8,5.5,2014
NORTH CAROLINA,White alone or in combination,"5,492","5,081",70.8,2,"3,598",65.5,1.9,"2,365",43.1,2,2014
NORTH CAROLINA,Black alone or in combination,"1,628","1,583",67.6,4.3,"1,070",65.7,4.3,761,46.7,4.6,2014
NORTH CAROLINA,Asian alone or in combination,198,107,58.5,12.7,62,31.6,18.4,29,14.9,9.8,2014
NORTH DAKOTA,Total,567,547,66.4,2.4,363,64.1,2.4,279,49.2,2.5,2014
NORTH DAKOTA,Male,290,279,64.4,3.4,180,61.9,3.4,136,46.7,3.5,2014
NORTH DAKOTA,Female,276,268,68.5,3.4,183,66.3,3.4,143,51.8,3.6,2014
NORTH DAKOTA,White alone,516,508,67.9,2.5,345,66.8,2.5,266,51.5,2.6,2014
NORTH DAKOTA,.White non-Hispanic alone,501,497,68.7,2.5,342,68.2,2.5,264,52.7,2.7,2014
NORTH DAKOTA,Black alone,10,6,(B),(B),2,(B),(B),2,(B),(B),2014
NORTH DAKOTA,Asian alone,10,3,(B),(B),1,(B),(B),1,(B),(B),2014
NORTH DAKOTA,Hispanic (of any race),19,14,(B),(B),5,(B),(B),2,(B),(B),2014
NORTH DAKOTA,White alone or in combination,526,517,67.8,2.4,351,66.7,2.4,270,51.4,2.6,2014
NORTH DAKOTA,Black alone or in combination,11,6,(B),(B),3,(B),(B),2,(B),(B),2014
NORTH DAKOTA,Asian alone or in combination,14,7,(B),(B),4,(B),(B),4,(B),(B),2014
OHIO,Total,"8,772","8,509",66.5,1.5,"5,657",64.5,1.5,"3,378",38.5,1.6,2014
OHIO,Male,"4,197","4,081",64.7,2.2,"2,640",62.9,2.3,"1,616",38.5,2.3,2014
OHIO,Female,"4,575","4,428",68.2,2.1,"3,018",66,2.1,"1,762",38.5,2.2,2014
OHIO,White alone,"7,404","7,289",66.8,1.7,"4,869",65.8,1.7,"2,898",39.1,1.7,2014
OHIO,.White non-Hispanic alone,"7,235","7,155",66.9,1.7,"4,787",66.2,1.7,"2,873",39.7,1.7,2014
OHIO,Black alone,"1,024",991,68.7,5.4,680,66.4,5.4,403,39.4,5.6,2014
OHIO,Asian alone,231,116,60.3,11.5,70,30.2,17.3,44,19.1,9.8,2014
OHIO,Hispanic (of any race),192,157,58.9,17.1,93,48.3,18.6,36,19,13.4,2014
OHIO,White alone or in combination,"7,501","7,386",66.2,1.7,"4,892",65.2,1.7,"2,918",38.9,1.7,2014
OHIO,Black alone or in combination,"1,089","1,055",65.8,5.3,695,63.8,5.3,414,38,5.4,2014
OHIO,Asian alone or in combination,259,144,55.3,10.9,80,30.7,15.8,54,20.8,9.6,2014
OKLAHOMA,Total,"2,851","2,690",61.1,2.7,"1,644",57.7,2.7,920,32.3,2.5,2014
OKLAHOMA,Male,"1,394","1,296",58.1,3.9,753,54.1,4,418,30,3.6,2014
OKLAHOMA,Female,"1,457","1,394",63.9,3.7,890,61.1,3.7,502,34.4,3.6,2014
OKLAHOMA,White alone,"2,262","2,149",62.5,3,"1,343",59.4,3,751,33.2,2.9,2014
OKLAHOMA,.White non-Hispanic alone,"2,038","2,027",63.4,3.1,"1,286",63.1,3.1,733,35.9,3.1,2014
OKLAHOMA,Black alone,192,190,50.3,12.7,96,49.7,12.8,56,29.2,11.5,2014
OKLAHOMA,Asian alone,65,24,(B),(B),17,(B),(B),8,(B),(B),2014
OKLAHOMA,Hispanic (of any race),267,156,53.8,12.9,84,31.3,18.2,28,10.5,8.6,2014
OKLAHOMA,White alone or in combination,"2,403","2,290",62.2,2.9,"1,425",59.3,2.9,795,33.1,2.8,2014
OKLAHOMA,Black alone or in combination,203,200,50,12.3,100,49.4,12.4,59,29.1,11.2,2014
OKLAHOMA,Asian alone or in combination,71,30,(B),(B),21,(B),(B),10,(B),(B),2014
OREGON,Total,"3,078","2,870",70,2.5,"2,008",65.2,2.5,"1,594",51.8,2.6,2014
OREGON,Male,"1,512","1,394",68.1,3.6,950,62.8,3.6,741,49,3.7,2014
OREGON,Female,"1,566","1,475",71.7,3.4,"1,058",67.6,3.4,852,54.4,3.6,2014
OREGON,White alone,"2,768","2,608",71.4,2.6,"1,861",67.2,2.6,"1,510",54.5,2.7,2014
OREGON,.White non-Hispanic alone,"2,475","2,448",72.3,2.6,"1,770",71.5,2.6,"1,458",58.9,2.9,2014
OREGON,Black alone,56,50,(B),(B),29,(B),(B),14,(B),(B),2014
OREGON,Asian alone,123,99,48,16.1,47,38.7,18.4,24,19.7,13.1,2014
OREGON,Hispanic (of any race),322,184,57.7,11.9,106,33.1,16.5,62,19.2,10,2014
OREGON,White alone or in combination,"2,839","2,675",71,2.6,"1,900",66.9,2.5,"1,537",54.1,2.7,2014
OREGON,Black alone or in combination,63,53,(B),(B),29,(B),(B),14,(B),(B),2014
OREGON,Asian alone or in combination,125,102,49.3,16,50,40,18.1,27,21.4,13.4,2014
PENNSYLVANIA,Total,"9,924","9,511",64.4,1.5,"6,121",61.7,1.5,"3,803",38.3,1.5,2014
PENNSYLVANIA,Male,"4,779","4,571",62.2,2.1,"2,845",59.5,2.2,"1,768",37,2.1,2014
PENNSYLVANIA,Female,"5,145","4,940",66.3,2,"3,276",63.7,2,"2,035",39.6,2.1,2014
PENNSYLVANIA,White alone,"8,451","8,291",65.8,1.6,"5,452",64.5,1.6,"3,375",39.9,1.6,2014
PENNSYLVANIA,.White non-Hispanic alone,"8,015","7,934",66.2,1.6,"5,252",65.5,1.6,"3,272",40.8,1.7,2014
PENNSYLVANIA,Black alone,"1,001",920,53.5,5.8,492,49.2,6,341,34.1,5.5,2014
PENNSYLVANIA,Asian alone,295,165,56.6,10.4,93,31.7,14.8,46,15.6,8.1,2014
PENNSYLVANIA,Hispanic (of any race),689,540,48.1,8.8,260,37.7,10.2,119,17.3,6.8,2014
PENNSYLVANIA,White alone or in combination,"8,600","8,398",65.7,1.6,"5,519",64.2,1.6,"3,416",39.7,1.6,2014
PENNSYLVANIA,Black alone or in combination,"1,076",984,52.1,5.6,513,47.6,5.8,341,31.7,5.2,2014
PENNSYLVANIA,Asian alone or in combination,322,192,62.8,10.3,121,37.4,13.3,73,22.7,8.9,2014
RHODE ISLAND,Total,819,765,63.6,2.6,486,59.4,2.6,331,40.4,2.5,2014
RHODE ISLAND,Male,387,362,63.7,3.7,231,59.6,3.8,154,39.9,3.7,2014
RHODE ISLAND,Female,432,403,63.4,3.5,255,59.2,3.6,177,41,3.5,2014
RHODE ISLAND,White alone,717,680,66.3,2.7,451,62.9,2.7,311,43.4,2.8,2014
RHODE ISLAND,.White non-Hispanic alone,659,647,67,2.7,434,65.8,2.7,302,45.8,2.9,2014
RHODE ISLAND,Black alone,55,47,(B),(B),28,(B),(B),16,(B),(B),2014
RHODE ISLAND,Asian alone,23,15,(B),(B),1,(B),(B),-,(B),(B),2014
RHODE ISLAND,Hispanic (of any race),75,45,(B),(B),22,(B),(B),13,(B),(B),2014
RHODE ISLAND,White alone or in combination,736,697,65.3,2.7,455,61.9,2.7,313,42.6,2.7,2014
RHODE ISLAND,Black alone or in combination,69,61,(B),(B),32,(B),(B),18,(B),(B),2014
RHODE ISLAND,Asian alone or in combination,24,16,(B),(B),2,(B),(B),1,(B),(B),2014
SOUTH CAROLINA,Total,"3,667","3,569",68.9,2.3,"2,458",67,2.3,"1,514",41.3,2.4,2014
SOUTH CAROLINA,Male,"1,730","1,678",67.5,3.4,"1,132",65.5,3.4,699,40.4,3.5,2014
SOUTH CAROLINA,Female,"1,937","1,891",70.1,3.1,"1,325",68.4,3.1,815,42,3.3,2014
SOUTH CAROLINA,White alone,"2,622","2,557",69.6,2.7,"1,778",67.8,2.7,"1,075",41,2.9,2014
SOUTH CAROLINA,.White non-Hispanic alone,"2,477","2,454",70.5,2.7,"1,730",69.9,2.7,"1,061",42.8,3,2014
SOUTH CAROLINA,Black alone,965,944,67.9,5.5,640,66.3,5.5,419,43.4,5.7,2014
SOUTH CAROLINA,Asian alone,50,38,(B),(B),18,(B),(B),13,(B),(B),2014
SOUTH CAROLINA,Hispanic (of any race),171,106,45.1,16.1,48,28.1,22.5,14,8.1,9.8,2014
SOUTH CAROLINA,White alone or in combination,"2,632","2,568",69.6,2.7,"1,787",67.9,2.7,"1,075",40.8,2.8,2014
SOUTH CAROLINA,Black alone or in combination,978,956,68.3,5.4,652,66.7,5.4,426,43.6,5.7,2014
SOUTH CAROLINA,Asian alone or in combination,53,42,(B),(B),21,(B),(B),16,(B),(B),2014
SOUTH DAKOTA,Total,625,618,64.9,2.6,401,64.2,2.6,273,43.7,2.7,2014
SOUTH DAKOTA,Male,308,304,62.1,3.7,189,61.4,3.7,132,42.8,3.8,2014
SOUTH DAKOTA,Female,317,314,67.7,3.6,212,67,3.6,141,44.5,3.8,2014
SOUTH DAKOTA,White alone,562,558,66.1,2.7,369,65.7,2.7,259,46.2,2.8,2014
SOUTH DAKOTA,.White non-Hispanic alone,551,549,66.8,2.7,367,66.6,2.7,259,46.9,2.9,2014
SOUTH DAKOTA,Black alone,12,11,(B),(B),5,(B),(B),3,(B),(B),2014
SOUTH DAKOTA,Asian alone,4,1,(B),(B),-,(B),(B),-,(B),(B),2014
SOUTH DAKOTA,Hispanic (of any race),12,10,(B),(B),3,(B),(B),-,(B),(B),2014
SOUTH DAKOTA,White alone or in combination,565,562,66.3,2.7,372,65.9,2.7,262,46.3,2.8,2014
SOUTH DAKOTA,Black alone or in combination,14,13,(B),(B),7,(B),(B),5,(B),(B),2014
SOUTH DAKOTA,Asian alone or in combination,4,1,(B),(B),-,(B),(B),-,(B),(B),2014
TENNESSEE,Total,"4,975","4,815",64.1,2.1,"3,088",62.1,2.1,"1,763",35.4,2,2014
TENNESSEE,Male,"2,366","2,275",60.5,3,"1,376",58.2,3.1,793,33.5,2.9,2014
TENNESSEE,Female,"2,609","2,539",67.4,2.8,"1,712",65.6,2.8,970,37.2,2.8,2014
TENNESSEE,White alone,"4,014","3,895",65.3,2.3,"2,545",63.4,2.3,"1,481",36.9,2.3,2014
TENNESSEE,.White non-Hispanic alone,"3,821","3,799",65.9,2.3,"2,503",65.5,2.3,"1,467",38.4,2.4,2014
TENNESSEE,Black alone,793,782,60.5,6.3,473,59.7,6.3,244,30.7,5.9,2014
TENNESSEE,Asian alone,84,54,(B),(B),21,(B),(B),12,(B),(B),2014
TENNESSEE,Hispanic (of any race),202,105,39.8,13.4,42,20.6,22.5,13,6.6,8.2,2014
TENNESSEE,White alone or in combination,"4,079","3,960",65.4,2.3,"2,588",63.5,2.3,"1,504",36.9,2.3,2014
TENNESSEE,Black alone or in combination,803,792,60.6,6.3,480,59.8,6.3,247,30.7,5.9,2014
TENNESSEE,Asian alone or in combination,91,61,(B),(B),24,(B),(B),12,(B),(B),2014
TEXAS,Total,"19,354","16,844",59.1,1.1,"9,946",51.4,1.2,"5,836",30.2,1,2014
TEXAS,Male,"9,412","8,076",57,1.6,"4,606",48.9,1.7,"2,600",27.6,1.4,2014
TEXAS,Female,"9,941","8,767",60.9,1.5,"5,340",53.7,1.6,"3,236",32.5,1.4,2014
TEXAS,White alone,"15,676","13,693",59.3,1.2,"8,124",51.8,1.3,"4,820",30.7,1.1,2014
TEXAS,.White non-Hispanic alone,"9,238","9,033",66.2,1.5,"5,982",64.8,1.5,"3,776",40.9,1.6,2014
TEXAS,Black alone,"2,327","2,198",60.7,3.8,"1,334",57.3,3.8,777,33.4,3.6,2014
TEXAS,Asian alone,853,565,45.8,6,259,30.3,8,102,11.9,4.3,2014
TEXAS,Hispanic (of any race),"6,762","4,878",46.2,2.7,"2,255",33.4,3.4,"1,092",16.2,2.1,2014
TEXAS,White alone or in combination,"15,905","13,899",59.4,1.2,"8,255",51.9,1.3,"4,906",30.8,1.1,2014
TEXAS,Black alone or in combination,"2,402","2,264",60.9,3.7,"1,380",57.4,3.8,809,33.7,3.5,2014
TEXAS,Asian alone or in combination,877,589,46,6,271,30.9,7.9,105,12,4.2,2014
UTAH,Total,"2,026","1,924",57.2,2.2,"1,101",54.3,2.3,703,34.7,2.1,2014
UTAH,Male,"1,011",955,56.4,3.1,539,53.3,3.2,339,33.5,3,2014
UTAH,Female,"1,016",969,58,3.1,562,55.4,3.2,364,35.8,3,2014
UTAH,White alone,"1,919","1,840",57.8,2.3,"1,064",55.5,2.3,678,35.3,2.2,2014
UTAH,.White non-Hispanic alone,"1,704","1,684",59.9,2.4,"1,009",59.2,2.4,650,38.2,2.4,2014
UTAH,Black alone,26,16,(B),(B),6,(B),(B),6,(B),(B),2014
UTAH,Asian alone,37,24,(B),(B),13,(B),(B),10,(B),(B),2014
UTAH,Hispanic (of any race),222,156,35.6,9.2,56,25,12.1,28,12.7,7,2014
UTAH,White alone or in combination,"1,939","1,860",57.5,2.3,"1,070",55.2,2.3,681,35.1,2.2,2014
UTAH,Black alone or in combination,34,24,(B),(B),11,(B),(B),8,(B),(B),2014
UTAH,Asian alone or in combination,43,30,(B),(B),14,(B),(B),10,(B),(B),2014
VERMONT,Total,493,482,67.2,2.7,324,65.7,2.7,205,41.6,2.8,2014
VERMONT,Male,240,233,65,3.9,152,63.3,3.9,93,38.7,4,2014
VERMONT,Female,253,248,69.2,3.7,172,67.9,3.7,112,44.3,3.9,2014
VERMONT,White alone,475,466,68.3,2.7,318,67,2.7,202,42.6,2.8,2014
VERMONT,.White non-Hispanic alone,471,463,68.2,2.7,316,67,2.7,201,42.6,2.9,2014
VERMONT,Black alone,4,4,(B),(B),2,(B),(B),-,(B),(B),2014
VERMONT,Asian alone,7,5,(B),(B),-,(B),(B),-,(B),(B),2014
VERMONT,Hispanic (of any race),4,3,(B),(B),2,(B),(B),2,(B),(B),2014
VERMONT,White alone or in combination,480,471,68.1,2.7,321,66.8,2.7,204,42.4,2.8,2014
VERMONT,Black alone or in combination,6,6,(B),(B),3,(B),(B),-,(B),(B),2014
VERMONT,Asian alone or in combination,8,6,(B),(B),1,(B),(B),1,(B),(B),2014
VIRGINIA,Total,"6,221","5,888",66.6,1.9,"3,924",63.1,1.9,"2,453",39.4,1.9,2014
VIRGINIA,Male,"2,975","2,842",66.6,2.7,"1,892",63.6,2.7,"1,200",40.3,2.8,2014
VIRGINIA,Female,"3,246","3,046",66.7,2.6,"2,032",62.6,2.6,"1,253",38.6,2.6,2014
VIRGINIA,White alone,"4,480","4,287",68.6,2.2,"2,939",65.6,2.2,"1,924",43,2.3,2014
VIRGINIA,.White non-Hispanic alone,"4,145","4,094",69.6,2.2,"2,850",68.8,2.2,"1,869",45.1,2.4,2014
VIRGINIA,Black alone,"1,188","1,153",61.7,5.3,712,60,5.3,394,33.2,5.1,2014
VIRGINIA,Asian alone,438,343,61,9.2,209,47.8,10.2,108,24.7,8,2014
VIRGINIA,Hispanic (of any race),389,236,47.4,11.1,112,28.9,15.6,60,15.4,8.8,2014
VIRGINIA,White alone or in combination,"4,540","4,337",68.5,2.2,"2,973",65.5,2.2,"1,934",42.6,2.2,2014
VIRGINIA,Black alone or in combination,"1,233","1,199",61.5,5.2,738,59.8,5.2,401,32.5,4.9,2014
VIRGINIA,Asian alone or in combination,477,372,62.8,8.9,233,48.9,9.7,116,24.4,7.6,2014
WASHINGTON,Total,"5,333","4,776",68.7,2,"3,281",61.5,2,"2,390",44.8,2.1,2014
WASHINGTON,Male,"2,616","2,331",66.2,2.9,"1,543",59,3,"1,125",43,2.9,2014
WASHINGTON,Female,"2,717","2,445",71.1,2.8,"1,739",64,2.8,"1,265",46.5,2.9,2014
