State,Group,Total Population,Total Citizen Population,"Percent registered
(Citizen)",Margin of error 1,Total registered,"Percent registered
(Total)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,Year
MINNESOTA,White alone,"3,632","3,537",77.1,2.4,"2,727",75.1,2.3,"2,286",62.9,2.7,2018
MINNESOTA,White non-Hispanic alone,"3,485","3,471",77.3,2.4,"2,683",77,2.4,"2,249",64.5,2.7,2018
MINNESOTA,Black alone,252,194,66.1,12.6,128,50.8,13.6,106,42.1,12.5,2018
MINNESOTA,Asian alone,225,157,49.7,13.3,78,34.6,16.7,68,30.2,12.8,2018
MINNESOTA,Hispanic (of any race),156,65,B,18.7,44,28.2,B,37,23.8,17.7,2018
MINNESOTA,White alone or in combination,"3,698","3,593",77.2,2.4,"2,772",75,2.3,"2,327",62.9,2.6,2018
MINNESOTA,Black alone or in combination,287,219,70,11.8,153,53.5,12.4,127,44.5,11.8,2018
MINNESOTA,Asian alone or in combination,241,172,54.1,13.2,93,38.7,15.9,83,34.5,12.8,2018
MISSISSIPPI,Total,"2,194","2,178",73.4,2.5,"1,599",72.9,2.5,"1,180",53.8,2.8,2018
MISSISSIPPI,Male,"1,027","1,016",70.7,3.7,718,69.9,3.7,531,51.7,4,2018
MISSISSIPPI,Female,"1,167","1,162",75.8,3.3,881,75.5,3.3,650,55.7,3.8,2018
MISSISSIPPI,White alone,"1,353","1,341",71.2,3.2,956,70.6,3.2,688,50.9,3.5,2018
MISSISSIPPI,White non-Hispanic alone,"1,317","1,314",71.8,3.2,943,71.6,3.2,679,51.6,3.6,2018
MISSISSIPPI,Black alone,798,796,78.1,4.6,621,77.8,4.6,476,59.6,5.4,2018
MISSISSIPPI,Asian alone,16,14,B,B,3,B,B,-,B,B,2018
MISSISSIPPI,Hispanic (of any race),44,33,B,B,16,B,B,11,B,B,2018
MISSISSIPPI,White alone or in combination,"1,370","1,359",71.3,3.2,969,70.7,3.2,700,51.1,3.5,2018
MISSISSIPPI,Black alone or in combination,812,809,77.9,4.6,630,77.7,4.6,484,59.6,5.4,2018
MISSISSIPPI,Asian alone or in combination,19,17,B,B,5,B,B,-,B,B,2018
MISSOURI,Total,"4,676","4,564",72.3,2.2,"3,299",70.6,2.2,"2,509",53.7,2.4,2018
MISSOURI,Male,"2,243","2,202",70,3.3,"1,541",68.7,3.3,"1,162",51.8,3.5,2018
MISSOURI,Female,"2,433","2,361",74.5,3,"1,758",72.3,3,"1,346",55.3,3.4,2018
MISSOURI,White alone,"4,006","3,944",73.2,2.4,"2,887",72.1,2.4,"2,227",55.6,2.6,2018
MISSOURI,White non-Hispanic alone,"3,874","3,856",73.6,2.4,"2,839",73.3,2.4,"2,185",56.4,2.7,2018
MISSOURI,Black alone,504,497,65.7,8.6,326,64.8,8.6,238,47.3,9,2018
MISSOURI,Asian alone,55,35,B,B,17,B,B,3,B,B,2018
MISSOURI,Hispanic (of any race),176,108,49.1,18.1,53,30,25.3,47,26.5,17.5,2018
MISSOURI,White alone or in combination,"4,060","3,991",73.3,2.4,"2,927",72.1,2.3,"2,253",55.5,2.6,2018
MISSOURI,Black alone or in combination,531,519,65.5,8.4,340,64,8.4,245,46.1,8.7,2018
MISSOURI,Asian alone or in combination,55,35,B,B,17,B,B,3,B,B,2018
MONTANA,Total,822,812,71.3,2.3,579,70.4,2.3,518,63,2.4,2018
MONTANA,Male,405,402,69.5,3.3,279,68.8,3.3,247,61.1,3.5,2018
MONTANA,Female,417,411,73,3.2,300,71.9,3.2,271,64.9,3.4,2018
MONTANA,White alone,769,760,71.8,2.4,546,71,2.4,494,64.3,2.5,2018
MONTANA,White non-Hispanic alone,747,740,72.1,2.4,534,71.5,2.4,483,64.7,2.5,2018
MONTANA,Black alone,4,4,B,B,1,B,B,-,B,B,2018
MONTANA,Asian alone,5,4,B,B,3,B,B,3,B,B,2018
MONTANA,Hispanic (of any race),22,20,B,B,11,B,B,11,B,B,2018
MONTANA,White alone or in combination,784,775,71.8,2.3,557,71,2.3,504,64.3,2.5,2018
MONTANA,Black alone or in combination,7,7,B,B,3,B,B,1,B,B,2018
MONTANA,Asian alone or in combination,8,7,B,B,5,B,B,4,B,B,2018
NEBRASKA,Total,"1,428","1,332",66.3,2.8,883,61.9,2.8,676,47.3,2.9,2018
NEBRASKA,Male,710,652,64.1,4.1,418,58.9,4.1,314,44.2,4.1,2018
NEBRASKA,Female,718,680,68.5,3.9,466,64.8,3.9,362,50.5,4.1,2018
NEBRASKA,White alone,"1,277","1,203",68.4,2.9,822,64.4,2.9,633,49.6,3.1,2018
NEBRASKA,White non-Hispanic alone,"1,113","1,108",70.5,3,782,70.2,3,606,54.5,3.3,2018
NEBRASKA,Black alone,60,59,B,B,26,B,B,15,B,B,2018
NEBRASKA,Asian alone,58,37,B,B,11,B,B,8,B,B,2018
NEBRASKA,Hispanic (of any race),175,105,47.7,11.8,50,28.7,16.8,34,19.7,10.4,2018
NEBRASKA,White alone or in combination,"1,301","1,226",68.4,2.9,839,64.5,2.9,649,49.9,3,2018
NEBRASKA,Black alone or in combination,66,65,B,B,29,B,B,18,B,B,2018
NEBRASKA,Asian alone or in combination,60,40,B,B,11,B,B,8,B,B,2018
NEVADA,Total,"2,324","2,067",61.8,2.7,"1,277",55,2.8,"1,006",43.3,2.7,2018
NEVADA,Male,"1,145","1,043",59,3.8,616,53.8,4,497,43.4,3.8,2018
NEVADA,Female,"1,179","1,024",64.6,3.8,662,56.1,3.9,509,43.2,3.8,2018
NEVADA,White alone,"1,731","1,573",64.2,3.1,"1,009",58.3,3.2,818,47.2,3.1,2018
NEVADA,White non-Hispanic alone,"1,261","1,239",68.6,3.4,850,67.4,3.4,701,55.6,3.7,2018
NEVADA,Black alone,197,178,60.9,11.2,108,55,11.6,65,33.3,10.6,2018
NEVADA,Asian alone,230,177,39.2,10,69,30.2,12.1,49,21.4,8.9,2018
NEVADA,Hispanic (of any race),584,415,51,8.2,212,36.2,10.1,156,26.7,7.5,2018
NEVADA,White alone or in combination,"1,798","1,635",64.7,3,"1,058",58.8,3.1,854,47.5,3.1,2018
NEVADA,Black alone or in combination,205,185,61.5,11,114,55.7,11.3,69,33.7,10.4,2018
NEVADA,Asian alone or in combination,248,195,40.1,9.7,78,31.5,11.6,58,23.4,8.9,2018
NEW HAMPSHIRE,Total,"1,080","1,025",70.8,2.6,726,67.2,2.6,576,53.3,2.8,2018
NEW HAMPSHIRE,Male,530,507,70.9,3.7,359,67.8,3.7,280,52.9,3.9,2018
NEW HAMPSHIRE,Female,550,519,70.8,3.7,367,66.7,3.6,296,53.8,3.9,2018
NEW HAMPSHIRE,White alone,"1,002",978,71.4,2.6,698,69.7,2.6,556,55.5,2.9,2018
NEW HAMPSHIRE,White non-Hispanic alone,970,956,71.4,2.7,683,70.3,2.7,545,56.1,2.9,2018
NEW HAMPSHIRE,Black alone,16,4,B,B,2,B,B,2,B,B,2018
NEW HAMPSHIRE,Asian alone,38,23,B,B,15,B,B,10,B,B,2018
NEW HAMPSHIRE,Hispanic (of any race),42,25,B,B,18,B,B,14,B,B,2018
NEW HAMPSHIRE,White alone or in combination,"1,019",991,71.2,2.6,706,69.3,2.6,562,55.2,2.8,2018
NEW HAMPSHIRE,Black alone or in combination,27,12,B,B,7,B,B,6,B,B,2018
NEW HAMPSHIRE,Asian alone or in combination,41,26,B,B,17,B,B,13,B,B,2018
NEW JERSEY,Total,"7,009","6,267",68.6,1.9,"4,297",61.3,1.9,"3,384",48.3,2,2018
NEW JERSEY,Male,"3,348","2,998",68.2,2.8,"2,046",61.1,2.8,"1,577",47.1,2.8,2018
NEW JERSEY,Female,"3,660","3,269",68.9,2.7,"2,251",61.5,2.7,"1,808",49.4,2.7,2018
NEW JERSEY,White alone,"5,227","4,788",69.9,2.2,"3,349",64.1,2.2,"2,678",51.2,2.3,2018
NEW JERSEY,White non-Hispanic alone,"4,081","3,944",72.2,2.4,"2,847",69.7,2.4,"2,283",55.9,2.6,2018
NEW JERSEY,Black alone,"1,013",917,66.6,6.1,611,60.3,6.2,472,46.6,6.3,2018
NEW JERSEY,Asian alone,690,483,58.2,7.8,281,40.7,9.4,188,27.2,7.1,2018
NEW JERSEY,Hispanic (of any race),"1,259",920,62.9,7.3,578,45.9,8.3,471,37.4,7.1,2018
NEW JERSEY,White alone or in combination,"5,302","4,863",69.9,2.2,"3,401",64.1,2.2,"2,725",51.4,2.3,2018
NEW JERSEY,Black alone or in combination,"1,081",985,67.3,5.9,663,61.4,6,515,47.7,6.1,2018
NEW JERSEY,Asian alone or in combination,697,490,58.1,7.8,284,40.8,9.3,191,27.4,7,2018
NEW MEXICO,Total,"1,576","1,485",61.7,2.5,916,58.1,2.6,715,45.3,2.6,2018
NEW MEXICO,Male,761,715,59.1,3.7,422,55.5,3.8,327,43,3.7,2018
NEW MEXICO,Female,815,770,64,3.5,493,60.5,3.5,387,47.5,3.6,2018
NEW MEXICO,White alone,"1,251","1,178",64.9,2.8,764,61.1,2.8,616,49.2,2.9,2018
NEW MEXICO,White non-Hispanic alone,644,634,73.4,3.6,465,72.2,3.6,388,60.3,3.9,2018
NEW MEXICO,Black alone,30,27,B,B,15,B,B,9,B,B,2018
NEW MEXICO,Asian alone,32,21,B,B,9,B,B,7,B,B,2018
NEW MEXICO,Hispanic (of any race),666,597,53.9,6.2,322,48.3,6.5,242,36.3,6,2018
NEW MEXICO,White alone or in combination,"1,284","1,206",64.5,2.8,777,60.5,2.8,626,48.7,2.8,2018
NEW MEXICO,Black alone or in combination,39,36,B,B,19,B,B,11,B,B,2018
NEW MEXICO,Asian alone or in combination,35,25,B,B,10,B,B,8,B,B,2018
NEW YORK,Total,"15,478","13,684",62.5,1.3,"8,553",55.3,1.4,"6,775",43.8,1.3,2018
NEW YORK,Male,"7,364","6,512",60.4,2,"3,934",53.4,2,"3,081",41.8,1.9,2018
NEW YORK,Female,"8,113","7,171",64.4,1.8,"4,619",56.9,1.9,"3,694",45.5,1.9,2018
NEW YORK,White alone,"11,157","10,070",64.3,1.6,"6,474",58,1.6,"5,129",46,1.6,2018
NEW YORK,White non-Hispanic alone,"9,108","8,708",66.3,1.7,"5,770",63.4,1.7,"4,604",50.6,1.8,2018
NEW YORK,Black alone,"2,570","2,305",61.2,4,"1,410",54.9,4.1,"1,182",46,4,2018
NEW YORK,Asian alone,"1,443","1,061",47.5,5.3,504,34.9,6.5,344,23.8,4.8,2018
NEW YORK,Hispanic (of any race),"2,604","1,785",53.9,5,963,37,6.2,731,28.1,4.6,2018
NEW YORK,White alone or in combination,"11,374","10,239",64.4,1.6,"6,590",57.9,1.6,"5,215",45.8,1.6,2018
NEW YORK,Black alone or in combination,"2,721","2,414",61.3,3.9,"1,481",54.4,4,"1,236",45.4,3.9,2018
NEW YORK,Asian alone or in combination,"1,467","1,085",48.1,5.3,523,35.6,6.4,358,24.4,4.8,2018
NORTH CAROLINA,Total,"7,911","7,444",69.3,1.8,"5,160",65.2,1.8,"3,899",49.3,1.9,2018
NORTH CAROLINA,Male,"3,748","3,495",68.2,2.6,"2,384",63.6,2.6,"1,822",48.6,2.7,2018
NORTH CAROLINA,Female,"4,163","3,949",70.3,2.4,"2,776",66.7,2.4,"2,077",49.9,2.6,2018
NORTH CAROLINA,White alone,"5,775","5,400",70.9,2.1,"3,830",66.3,2.1,"2,903",50.3,2.2,2018
NORTH CAROLINA,White non-Hispanic alone,"5,239","5,170",72,2.1,"3,721",71,2.1,"2,814",53.7,2.3,2018
NORTH CAROLINA,Black alone,"1,685","1,646",67.4,4.7,"1,110",65.9,4.7,852,50.6,4.9,2018
NORTH CAROLINA,Asian alone,186,149,60.6,15.5,90,48.5,16.9,68,36.4,14.9,2018
NORTH CAROLINA,Hispanic (of any race),588,268,48.9,9,131,22.3,16,104,17.6,8.2,2018
NORTH CAROLINA,White alone or in combination,"5,865","5,474",71,2.1,"3,889",66.3,2,"2,939",50.1,2.2,2018
NORTH CAROLINA,Black alone or in combination,"1,748","1,696",68.2,4.6,"1,156",66.1,4.6,872,49.9,4.8,2018
NORTH CAROLINA,Asian alone or in combination,198,159,60,15,95,48,16.4,73,36.6,14.4,2018
NORTH DAKOTA,Total,560,541,73.4,2.5,397,70.9,2.5,335,59.8,2.7,2018
NORTH DAKOTA,Male,286,275,70.5,3.6,194,67.8,3.6,160,56,3.8,2018
NORTH DAKOTA,Female,274,266,76.5,3.4,204,74.3,3.4,175,63.8,3.8,2018
NORTH DAKOTA,White alone,499,494,74.6,2.6,368,73.7,2.6,315,63.1,2.8,2018
NORTH DAKOTA,White non-Hispanic alone,488,483,74.9,2.6,362,74.2,2.6,311,63.7,2.8,2018
NORTH DAKOTA,Black alone,14,6,B,B,2,B,B,1,B,B,2018
NORTH DAKOTA,Asian alone,8,3,B,B,-,B,B,-,B,B,2018
NORTH DAKOTA,Hispanic (of any race),16,15,B,B,10,B,B,7,B,B,2018
NORTH DAKOTA,White alone or in combination,507,501,74.6,2.5,374,73.7,2.5,320,63.1,2.8,2018
NORTH DAKOTA,Black alone or in combination,15,7,B,B,3,B,B,2,B,B,2018
NORTH DAKOTA,Asian alone or in combination,9,4,B,B,2,B,B,1,B,B,2018
OHIO,Total,"8,873","8,640",70.2,1.6,"6,062",68.3,1.6,"4,538",51.1,1.8,2018
OHIO,Male,"4,294","4,158",68.3,2.4,"2,840",66.1,2.4,"2,035",47.4,2.5,2018
OHIO,Female,"4,579","4,482",71.9,2.2,"3,222",70.4,2.2,"2,503",54.7,2.4,2018
OHIO,White alone,"7,372","7,280",70.8,1.8,"5,152",69.9,1.8,"3,889",52.8,1.9,2018
OHIO,White non-Hispanic alone,"7,203","7,142",70.8,1.8,"5,058",70.2,1.8,"3,849",53.4,1.9,2018
OHIO,Black alone,"1,054","1,010",70,5.8,707,67.1,5.8,519,49.2,6.1,2018
OHIO,Asian alone,207,129,72.4,14.4,93,45.1,16.4,65,31.3,13.4,2018
OHIO,Hispanic (of any race),235,185,65.4,16.9,121,51.5,18.1,60,25.7,14.8,2018
OHIO,White alone or in combination,"7,519","7,420",70.3,1.8,"5,215",69.4,1.7,"3,920",52.1,1.9,2018
OHIO,Black alone or in combination,"1,171","1,120",68,5.6,761,65,5.6,544,46.5,5.8,2018
OHIO,Asian alone or in combination,223,145,67.4,13.9,98,43.9,16.2,69,31,12.9,2018
OKLAHOMA,Total,"2,868","2,732",65.1,2.9,"1,777",62,2.9,"1,350",47.1,3,2018
OKLAHOMA,Male,"1,388","1,330",62,4.2,824,59.4,4.2,626,45.1,4.3,2018
OKLAHOMA,Female,"1,480","1,402",68,4,953,64.4,4,724,48.9,4.1,2018
OKLAHOMA,White alone,"2,254","2,148",66.2,3.2,"1,422",63.1,3.2,"1,098",48.7,3.3,2018
OKLAHOMA,White non-Hispanic alone,"1,957","1,951",68.7,3.3,"1,341",68.5,3.3,"1,035",52.9,3.6,2018
OKLAHOMA,Black alone,195,184,48.8,13.8,90,46.1,14.2,61,31.2,12.8,2018
OKLAHOMA,Asian alone,70,50,B,B,23,B,B,15,B,B,2018
OKLAHOMA,Hispanic (of any race),310,210,42.1,12.8,88,28.5,17,71,22.8,11.9,2018
OKLAHOMA,White alone or in combination,"2,370","2,264",66.7,3.1,"1,510",63.7,3.2,"1,162",49,3.3,2018
OKLAHOMA,Black alone or in combination,212,201,51.2,13.2,103,48.7,13.6,72,34.1,12.5,2018
OKLAHOMA,Asian alone or in combination,73,53,B,B,26,B,B,18,B,B,2018
OREGON,Total,"3,293","3,138",72.5,2.6,"2,274",69.1,2.5,"1,918",58.2,2.7,2018
OREGON,Male,"1,612","1,542",69.9,3.7,"1,078",66.9,3.7,912,56.6,3.9,2018
OREGON,Female,"1,681","1,596",75,3.5,"1,197",71.2,3.4,"1,006",59.8,3.8,2018
OREGON,White alone,"2,874","2,781",74,2.7,"2,059",71.6,2.6,"1,769",61.5,2.9,2018
OREGON,White non-Hispanic alone,"2,584","2,569",76.1,2.7,"1,956",75.7,2.7,"1,694",65.6,3,2018
OREGON,Black alone,78,71,B,21.6,43,55.5,B,41,52.1,21.7,2018
OREGON,Asian alone,172,138,51.3,15,71,41.1,17,36,21,12.4,2018
OREGON,Hispanic (of any race),365,267,52.3,12.7,140,38.3,15.2,93,25.4,11.3,2018
OREGON,White alone or in combination,"3,005","2,892",73.9,2.6,"2,138",71.1,2.6,"1,826",60.8,2.8,2018
OREGON,Black alone or in combination,97,90,65.4,19,59,60.5,19.2,52,53.4,19.4,2018
OREGON,Asian alone or in combination,189,155,53.7,14.4,83,44,16,41,21.6,12,2018
PENNSYLVANIA,Total,"9,928","9,475",68.3,1.6,"6,469",65.2,1.6,"5,173",52.1,1.7,2018
PENNSYLVANIA,Male,"4,736","4,532",67.4,2.3,"3,056",64.5,2.3,"2,445",51.6,2.4,2018
PENNSYLVANIA,Female,"5,192","4,943",69.1,2.2,"3,414",65.7,2.2,"2,728",52.5,2.3,2018
PENNSYLVANIA,White alone,"8,277","8,073",69.7,1.7,"5,628",68,1.7,"4,461",53.9,1.8,2018
PENNSYLVANIA,White non-Hispanic alone,"7,712","7,635",71.2,1.7,"5,434",70.5,1.7,"4,323",56.1,1.9,2018
PENNSYLVANIA,Black alone,"1,059","1,028",63.5,6,653,61.7,6,562,53.1,6.1,2018
PENNSYLVANIA,Asian alone,423,230,46,8.8,106,25.1,13.8,87,20.6,8.2,2018
PENNSYLVANIA,Hispanic (of any race),657,529,41.2,9.6,218,33.2,11.1,154,23.4,8.6,2018
PENNSYLVANIA,White alone or in combination,"8,418","8,189",69.5,1.7,"5,693",67.6,1.7,"4,510",53.6,1.8,2018
PENNSYLVANIA,Black alone or in combination,"1,169","1,113",62.9,5.7,700,59.8,5.8,589,50.4,5.9,2018
PENNSYLVANIA,Asian alone or in combination,440,247,49.8,9,123,28,13.3,104,23.8,8.5,2018
RHODE ISLAND,Total,828,782,68,2.7,532,64.2,2.7,403,48.7,2.8,2018
RHODE ISLAND,Male,394,373,63.8,4,238,60.5,4,186,47.4,4.1,2018
RHODE ISLAND,Female,435,408,71.9,3.7,293,67.5,3.6,217,49.9,3.9,2018
RHODE ISLAND,White alone,724,699,69.8,2.8,488,67.4,2.8,374,51.6,3,2018
RHODE ISLAND,White non-Hispanic alone,642,633,70.7,3,447,69.8,2.9,345,53.8,3.2,2018
RHODE ISLAND,Black alone,53,45,B,B,26,B,B,16,B,B,2018
RHODE ISLAND,Asian alone,26,16,B,B,7,B,B,5,B,B,2018
RHODE ISLAND,Hispanic (of any race),98,79,55.8,12.9,44,45,14.3,30,30.5,11.9,2018
RHODE ISLAND,White alone or in combination,746,718,69.3,2.8,498,66.7,2.8,382,51.2,3,2018
RHODE ISLAND,Black alone or in combination,71,60,B,B,34,B,B,23,B,B,2018
RHODE ISLAND,Asian alone or in combination,30,19,B,B,7,B,B,5,B,B,2018
SOUTH CAROLINA,Total,"3,914","3,769",64.5,2.5,"2,430",62.1,2.5,"1,836",46.9,2.6,2018
SOUTH CAROLINA,Male,"1,849","1,767",63.5,3.7,"1,121",60.6,3.7,828,44.8,3.8,2018
SOUTH CAROLINA,Female,"2,066","2,002",65.4,3.5,"1,309",63.4,3.5,"1,007",48.8,3.6,2018
SOUTH CAROLINA,White alone,"2,790","2,677",64.5,3,"1,727",61.9,3,"1,276",45.7,3.1,2018
SOUTH CAROLINA,White non-Hispanic alone,"2,610","2,588",65.3,3,"1,690",64.8,3,"1,257",48.1,3.2,2018
SOUTH CAROLINA,Black alone,"1,000",996,64.9,6,646,64.6,6,519,51.9,6.2,2018
SOUTH CAROLINA,Asian alone,54,29,B,B,19,B,B,9,B,B,2018
SOUTH CAROLINA,Hispanic (of any race),207,110,33.3,13.6,36,17.7,23,19,9.3,10.3,2018
SOUTH CAROLINA,White alone or in combination,"2,836","2,722",64.5,3,"1,756",61.9,3,"1,298",45.8,3,2018
SOUTH CAROLINA,Black alone or in combination,"1,041","1,036",64.9,5.8,672,64.6,5.8,539,51.8,6.1,2018
SOUTH CAROLINA,Asian alone or in combination,56,32,B,B,19,B,B,9,B,B,2018
SOUTH DAKOTA,Total,648,637,67.3,2.7,429,66.2,2.7,331,51,2.9,2018
SOUTH DAKOTA,Male,325,319,65,3.9,207,63.8,3.9,160,49.4,4.1,2018
SOUTH DAKOTA,Female,323,318,69.7,3.8,222,68.6,3.8,170,52.7,4.1,2018
SOUTH DAKOTA,White alone,573,568,69.1,2.9,392,68.5,2.9,305,53.3,3.1,2018
SOUTH DAKOTA,White non-Hispanic alone,561,559,69.6,2.9,389,69.4,2.9,303,54.1,3.1,2018
SOUTH DAKOTA,Black alone,12,7,B,B,2,B,B,1,B,B,2018
SOUTH DAKOTA,Asian alone,5,3,B,B,1,B,B,1,B,B,2018
SOUTH DAKOTA,Hispanic (of any race),15,13,B,B,5,B,B,4,B,B,2018
SOUTH DAKOTA,White alone or in combination,579,575,68.7,2.9,395,68.1,2.9,308,53.1,3.1,2018
SOUTH DAKOTA,Black alone or in combination,14,9,B,B,2,B,B,1,B,B,2018
SOUTH DAKOTA,Asian alone or in combination,6,4,B,B,2,B,B,2,B,B,2018
TENNESSEE,Total,"5,202","5,016",63.5,2.2,"3,183",61.2,2.2,"2,487",47.8,2.3,2018
TENNESSEE,Male,"2,501","2,386",61.9,3.2,"1,476",59,3.3,"1,174",46.9,3.3,2018
TENNESSEE,Female,"2,701","2,630",64.9,3,"1,707",63.2,3.1,"1,313",48.6,3.2,2018
TENNESSEE,White alone,"4,156","4,015",64.9,2.5,"2,606",62.7,2.5,"2,039",49.1,2.5,2018
TENNESSEE,White non-Hispanic alone,"3,879","3,852",65.9,2.5,"2,536",65.4,2.5,"1,991",51.3,2.6,2018
TENNESSEE,Black alone,830,801,60.4,6.8,484,58.3,6.9,368,44.3,6.9,2018
TENNESSEE,Asian alone,109,97,33,18.1,32,29.4,19.9,29,26.8,17.6,2018
TENNESSEE,Hispanic (of any race),282,167,41.3,13.2,69,24.5,19.6,48,17,11.6,2018
TENNESSEE,White alone or in combination,"4,244","4,099",64.9,2.4,"2,660",62.7,2.4,"2,087",49.2,2.5,2018
TENNESSEE,Black alone or in combination,866,837,59.3,6.7,496,57.3,6.8,376,43.5,6.7,2018
TENNESSEE,Asian alone or in combination,124,109,33.4,16.9,36,29.2,18.8,34,27,16.5,2018
TEXAS,Total,"21,064","18,374",63.3,1.1,"11,634",55.2,1.2,"8,886",42.2,1.1,2018
TEXAS,Male,"10,274","8,812",60.8,1.6,"5,361",52.2,1.7,"4,064",39.6,1.6,2018
TEXAS,Female,"10,790","9,562",65.6,1.6,"6,273",58.1,1.6,"4,822",44.7,1.6,2018
TEXAS,White alone,"16,689","14,555",64.1,1.3,"9,331",55.9,1.3,"7,158",42.9,1.3,2018
TEXAS,White non-Hispanic alone,"9,492","9,345",71.5,1.6,"6,686",70.4,1.6,"5,394",56.8,1.7,2018
TEXAS,Black alone,"2,625","2,490",63.4,3.8,"1,580",60.2,3.9,"1,203",45.8,3.9,2018
TEXAS,Asian alone,"1,097",736,54,6.1,397,36.2,7.7,288,26.3,5.6,2018
TEXAS,Hispanic (of any race),"7,658","5,594",50.8,2.9,"2,843",37.1,3.5,"1,918",25,2.6,2018
TEXAS,White alone or in combination,"16,991","14,838",64,1.3,"9,496",55.9,1.3,"7,276",42.8,1.3,2018
TEXAS,Black alone or in combination,"2,722","2,583",63.1,3.8,"1,629",59.8,3.8,"1,231",45.2,3.8,2018
TEXAS,Asian alone or in combination,"1,192",831,56.7,6,471,39.5,7.2,354,29.7,5.6,2018
UTAH,Total,"2,247","2,109",68.4,2.2,"1,443",64.2,2.2,"1,214",54,2.3,2018
UTAH,Male,"1,109","1,040",66.4,3.2,691,62.3,3.2,568,51.2,3.3,2018
UTAH,Female,"1,138","1,068",70.4,3.1,752,66.1,3.1,646,56.8,3.2,2018
UTAH,White alone,"2,080","1,969",70.4,2.3,"1,385",66.6,2.3,"1,171",56.3,2.4,2018
UTAH,White non-Hispanic alone,"1,799","1,785",72.4,2.3,"1,293",71.9,2.3,"1,092",60.7,2.5,2018
UTAH,Black alone,31,29,B,B,8,B,B,5,B,B,2018
UTAH,Asian alone,63,44,B,B,26,B,B,22,B,B,2018
UTAH,Hispanic (of any race),291,189,50.5,9.5,96,32.8,12.6,82,28.3,9.1,2018
UTAH,White alone or in combination,"2,091","1,979",70.3,2.3,"1,392",66.6,2.3,"1,175",56.2,2.4,2018
UTAH,Black alone or in combination,35,33,B,B,12,B,B,10,B,B,2018
UTAH,Asian alone or in combination,67,48,B,B,26,B,B,22,B,B,2018
VERMONT,Total,503,497,69,2.9,343,68.1,2.9,273,54.2,3.1,2018
VERMONT,Male,247,243,69.1,4.1,168,68.2,4.1,132,53.6,4.4,2018
VERMONT,Female,257,253,69,4,175,68,4,141,54.7,4.3,2018
VERMONT,White alone,478,473,69.7,2.9,330,68.9,2.9,263,55,3.1,2018
VERMONT,White non-Hispanic alone,472,466,69.4,2.9,323,68.6,2.9,258,54.6,3.2,2018
VERMONT,Black alone,4,4,B,B,2,B,B,1,B,B,2018
VERMONT,Asian alone,5,4,B,B,3,B,B,3,B,B,2018
VERMONT,Hispanic (of any race),8,8,B,B,7,B,B,6,B,B,2018
VERMONT,White alone or in combination,493,486,69.6,2.9,338,68.7,2.9,268,54.5,3.1,2018
VERMONT,Black alone or in combination,7,7,B,B,3,B,B,2,B,B,2018
VERMONT,Asian alone or in combination,8,7,B,B,5,B,B,3,B,B,2018
VIRGINIA,Total,"6,386","5,773",72,2,"4,159",65.1,2,"3,319",52,2.1,2018
VIRGINIA,Male,"3,051","2,724",71.9,2.9,"1,958",64.2,2.9,"1,578",51.7,3,2018
VIRGINIA,Female,"3,335","3,049",72.2,2.8,"2,201",66,2.7,"1,742",52.2,2.9,2018
VIRGINIA,White alone,"4,496","4,094",74.9,2.3,"3,065",68.2,2.3,"2,412",53.7,2.5,2018
VIRGINIA,White non-Hispanic alone,"3,874","3,808",76.8,2.3,"2,924",75.5,2.3,"2,314",59.7,2.6,2018
VIRGINIA,Black alone,"1,198","1,130",66.8,5.7,754,63,5.7,637,53.2,5.9,2018
VIRGINIA,Asian alone,510,368,61.4,9.3,226,44.3,10.8,169,33.2,8.8,2018
VIRGINIA,Hispanic (of any race),669,324,49,8.7,159,23.8,14.6,112,16.8,7.6,2018
VIRGINIA,White alone or in combination,"4,617","4,215",74.9,2.3,"3,156",68.4,2.2,"2,490",53.9,2.5,2018
VIRGINIA,Black alone or in combination,"1,258","1,190",66.1,5.5,786,62.5,5.6,664,52.8,5.7,2018
VIRGINIA,Asian alone or in combination,587,445,64.3,8.7,286,48.7,9.6,224,38.2,8.5,2018
WASHINGTON,Total,"5,775","5,228",73.7,2.1,"3,852",66.7,2,"3,234",56,2.2,2018
WASHINGTON,Male,"2,869","2,590",71.9,3,"1,861",64.9,2.9,"1,541",53.7,3.1,2018
WASHINGTON,Female,"2,906","2,638",75.5,2.9,"1,991",68.5,2.8,"1,693",58.2,3,2018
WASHINGTON,White alone,"4,663","4,314",74.6,2.3,"3,219",69,2.2,"2,736",58.7,2.4,2018
WASHINGTON,White non-Hispanic alone,"3,995","3,905",76.4,2.3,"2,983",74.7,2.3,"2,558",64,2.5,2018
WASHINGTON,Black alone,232,232,66.8,12.4,155,66.8,12.4,103,44.2,13.1,2018
WASHINGTON,Asian alone,530,356,73.4,9.1,262,49.4,9.8,224,42.2,9,2018
WASHINGTON,Hispanic (of any race),736,468,57.2,9.3,267,36.3,12,204,27.8,8.6,2018
WASHINGTON,White alone or in combination,"4,792","4,434",74.9,2.2,"3,321",69.3,2.2,"2,816",58.8,2.4,2018
WASHINGTON,Black alone or in combination,255,255,68.4,11.7,175,68.4,11.7,117,45.7,12.6,2018
