State,Group,Total Population,Total Citizen Population,"Percent registered
(Citizen)",Margin of Error1,Total registered,"Percent registered
(Total)",Margin of Error1,Total voted,"Percent voted
(Total)",Margin of Error1,Year
Mississippi,White alone,"1,324","1,309",74.1,2.9,970,73.3,2.9,623,47.1,3.3,2010
Mississippi,White non-Hispanic alone,"1,307","1,301",74.2,2.9,965,73.9,2.9,620,47.5,3.3,2010
Mississippi,Black alone,721,721,74.1,4.8,534,74.1,4.8,351,48.7,5.4,2010
Mississippi,Asian alone,29,19,(B),(B),12,(B),(B),2,(B),(B),2010
Mississippi,Hispanic (of any race),17,8,(B),(B),5,(B),(B),3,(B),(B),2010
Mississippi,White alone or in combination,"1,340","1,324",74.3,2.9,984,73.4,2.9,630,47,3.3,2010
Mississippi,Black alone or in combination,735,735,73.6,4.8,541,73.6,4.8,354,48.1,5.4,2010
Mississippi,Asian alone or in combination,31,19,(B),(B),12,(B),(B),2,(B),(B),2010
Missouri,Total,"4,506","4,387",68.7,2.1,"3,013",66.9,2.1,"2,004",44.5,2.2,2010
Missouri,Male,"2,164","2,083",67.9,3.1,"1,414",65.3,3.1,941,43.5,3.2,2010
Missouri,Female,"2,342","2,304",69.4,2.9,"1,598",68.3,2.9,"1,063",45.4,3.1,2010
Missouri,White alone,"3,900","3,811",68.8,2.3,"2,622",67.2,2.3,"1,755",45,2.4,2010
Missouri,White non-Hispanic alone,"3,764","3,746",69,2.3,"2,585",68.7,2.3,"1,731",46,2.5,2010
Missouri,Black alone,484,472,71.8,7.6,338,70,7.6,224,46.4,8.3,2010
Missouri,Asian alone,35,21,(B),(B),3,(B),(B),-,(B),(B),2010
Missouri,Hispanic (of any race),140,65,57.7,17.7,37,26.7,29.1,24,17.2,15.1,2010
Missouri,White alone or in combination,"3,958","3,869",68.7,2.3,"2,658",67.2,2.3,"1,773",44.8,2.4,2010
Missouri,Black alone or in combination,500,489,72.2,7.5,353,70.4,7.4,230,45.9,8.1,2010
Missouri,Asian alone or in combination,39,24,(B),(B),7,(B),(B),4,(B),(B),2010
Montana,Total,753,744,66,2.5,491,65.2,2.5,386,51.3,2.6,2010
Montana,Male,371,368,67.9,3.4,250,67.4,3.4,196,52.7,3.7,2010
Montana,Female,381,376,64.1,3.5,241,63.2,3.5,191,50,3.6,2010
Montana,White alone,678,672,67.3,2.6,452,66.7,2.6,359,52.9,2.7,2010
Montana,White non-Hispanic alone,659,655,67.3,2.6,441,66.9,2.6,351,53.2,2.7,2010
Montana,Black alone,5,5,(B),(B),2,(B),(B),2,(B),(B),2010
Montana,Asian alone,5,2,(B),(B),2,(B),(B),-,(B),(B),2010
Montana,Hispanic (of any race),22,20,(B),(B),13,(B),(B),9,(B),(B),2010
Montana,White alone or in combination,696,690,67.2,2.5,463,66.6,2.5,367,52.7,2.7,2010
Montana,Black alone or in combination,5,5,(B),(B),2,(B),(B),2,(B),(B),2010
Montana,Asian alone or in combination,5,2,(B),(B),2,(B),(B),-,(B),(B),2010
Nebraska,Total,"1,323","1,240",64.8,2.6,804,60.8,2.6,511,38.7,2.6,2010
Nebraska,Male,643,598,62.2,3.8,372,57.9,3.8,244,37.9,3.7,2010
Nebraska,Female,680,642,67.3,3.6,432,63.5,3.6,268,39.3,3.6,2010
Nebraska,White alone,"1,216","1,165",66,2.7,769,63.3,2.7,493,40.6,2.7,2010
Nebraska,White non-Hispanic alone,"1,138","1,124",66.9,2.7,752,66.1,2.7,487,42.8,2.8,2010
Nebraska,Black alone,45,31,(B),(B),13,(B),(B),5,(B),(B),2010
Nebraska,Asian alone,32,19,(B),(B),9,(B),(B),3,(B),(B),2010
Nebraska,Hispanic (of any race),101,55,46.4,13.1,25,25,20.6,12,11.6,9.7,2010
Nebraska,White alone or in combination,"1,223","1,172",66.1,2.7,775,63.4,2.7,498,40.7,2.7,2010
Nebraska,Black alone or in combination,47,33,(B),(B),15,(B),(B),7,(B),(B),2010
Nebraska,Asian alone or in combination,34,21,(B),(B),10,(B),(B),4,(B),(B),2010
Nevada,Total,"1,957","1,725",57.8,2.6,996,50.9,2.7,731,37.3,2.5,2010
Nevada,Male,989,873,54.6,3.6,477,48.3,3.8,360,36.4,3.5,2010
Nevada,Female,968,852,61,3.6,519,53.6,3.8,371,38.3,3.6,2010
Nevada,White alone,"1,534","1,360",60.2,2.9,819,53.4,3,608,39.6,2.8,2010
Nevada,White non-Hispanic alone,"1,169","1,143",63.5,3.2,726,62.1,3.2,546,46.7,3.3,2010
Nevada,Black alone,148,139,50,11.3,69,46.7,11.7,48,32.2,10.6,2010
Nevada,Asian alone,142,104,42.5,11.2,44,31.1,14,27,19,9.5,2010
Nevada,Hispanic (of any race),399,245,42.3,7.9,103,25.9,11.3,68,17.1,6.7,2010
Nevada,White alone or in combination,"1,580","1,403",60,2.9,842,53.3,3,623,39.4,2.8,2010
Nevada,Black alone or in combination,163,153,51.2,10.8,79,48.1,11.1,50,30.4,9.9,2010
Nevada,Asian alone or in combination,151,113,43.8,11,50,32.8,13.4,31,20.7,9.5,2010
New Hampshire,Total,"1,024","1,002",66.5,2.5,666,65,2.6,470,45.9,2.7,2010
New Hampshire,Male,498,489,66.9,3.6,327,65.7,3.6,234,46.9,3.8,2010
New Hampshire,Female,526,513,66,3.6,339,64.4,3.6,236,44.9,3.7,2010
New Hampshire,White alone,976,964,67.1,2.6,647,66.2,2.6,456,46.7,2.7,2010
New Hampshire,White non-Hispanic alone,964,953,67.4,2.6,642,66.6,2.6,454,47,2.7,2010
New Hampshire,Black alone,12,11,(B),(B),5,(B),(B),4,(B),(B),2010
New Hampshire,Asian alone,19,11,(B),(B),6,(B),(B),3,(B),(B),2010
New Hampshire,Hispanic (of any race),12,11,(B),(B),5,(B),(B),3,(B),(B),2010
New Hampshire,White alone or in combination,988,975,66.8,2.6,651,65.9,2.6,460,46.6,2.7,2010
New Hampshire,Black alone or in combination,16,14,(B),(B),6,(B),(B),5,(B),(B),2010
New Hampshire,Asian alone or in combination,19,12,(B),(B),6,(B),(B),3,(B),(B),2010
New Jersey,Total,"6,581","5,719",63.9,1.8,"3,656",55.6,1.9,"2,383",36.2,1.8,2010
New Jersey,Male,"3,169","2,706",63.3,2.7,"1,712",54,2.8,"1,090",34.4,2.5,2010
New Jersey,Female,"3,412","3,013",64.5,2.6,"1,944",57,2.6,"1,293",37.9,2.5,2010
New Jersey,White alone,"5,115","4,529",64.5,2.1,"2,921",57.1,2.1,"1,890",36.9,2,2010
New Jersey,White non-Hispanic alone,"4,109","3,963",67.3,2.2,"2,668",64.9,2.2,"1,729",42.1,2.3,2010
New Jersey,Black alone,889,832,66.8,5.9,555,62.5,6,390,43.9,6.1,2010
New Jersey,Asian alone,514,337,52,7.9,175,34.1,10.4,101,19.6,6.7,2010
New Jersey,Hispanic (of any race),"1,136",628,45.2,6.1,284,25,9.4,177,15.5,5.1,2010
New Jersey,White alone or in combination,"5,161","4,539",64.4,2.1,"2,923",56.6,2.1,"1,890",36.6,2,2010
New Jersey,Black alone or in combination,929,835,66.5,5.9,555,59.8,6,390,42,5.9,2010
New Jersey,Asian alone or in combination,521,343,51.5,7.9,177,33.9,10.3,101,19.3,6.6,2010
New Mexico,Total,"1,489","1,362",54.8,2.6,746,50.1,2.7,579,38.9,2.5,2010
New Mexico,Male,725,660,51,3.7,336,46.4,3.9,271,37.3,3.6,2010
New Mexico,Female,764,702,58.3,3.6,409,53.6,3.7,308,40.3,3.6,2010
New Mexico,White alone,"1,215","1,107",57.6,2.9,638,52.5,3,499,41.1,2.8,2010
New Mexico,White non-Hispanic alone,626,613,64.6,3.9,396,63.2,3.9,319,51,4,2010
New Mexico,Black alone,44,40,(B),(B),4,(B),(B),-,(B),(B),2010
New Mexico,Asian alone,52,35,(B),(B),14,(B),(B),12,(B),(B),2010
New Mexico,Hispanic (of any race),610,516,48.2,6.3,249,40.7,7,183,30,5.9,2010
New Mexico,White alone or in combination,"1,229","1,122",57.7,2.9,648,52.7,3,506,41.2,2.8,2010
New Mexico,Black alone or in combination,46,42,(B),(B),4,(B),(B),-,(B),(B),2010
New Mexico,Asian alone or in combination,55,38,(B),(B),17,(B),(B),12,(B),(B),2010
New York,Total,"14,974","13,163",63.8,1.2,"8,395",56.1,1.3,"5,746",38.4,1.2,2010
New York,Male,"7,136","6,211",62.5,1.8,"3,883",54.4,1.9,"2,699",37.8,1.7,2010
New York,Female,"7,837","6,952",64.9,1.7,"4,512",57.6,1.7,"3,046",38.9,1.7,2010
New York,White alone,"11,336","10,347",65.7,1.4,"6,797",60,1.4,"4,721",41.6,1.4,2010
New York,White non-Hispanic alone,"9,333","9,033",67.6,1.5,"6,102",65.4,1.5,"4,290",46,1.6,2010
New York,Black alone,"2,478","2,096",62.3,3.7,"1,306",52.7,3.9,892,36,3.6,2010
New York,Asian alone,"1,045",631,37.9,5,239,22.9,7.4,99,9.5,3.5,2010
New York,Hispanic (of any race),"2,389","1,603",51.8,4.7,830,34.7,6,516,21.6,4,2010
New York,White alone or in combination,"11,425","10,411",65.6,1.4,"6,827",59.8,1.4,"4,746",41.5,1.4,2010
New York,Black alone or in combination,"2,500","2,114",62.2,3.7,"1,316",52.6,3.9,899,36,3.5,2010
New York,Asian alone or in combination,"1,068",654,37.9,5,248,23.2,7.3,107,10.1,3.5,2010
North Carolina,Total,"6,998","6,632",67.2,1.7,"4,455",63.7,1.7,"3,009",43,1.8,2010
North Carolina,Male,"3,320","3,127",65.4,2.5,"2,045",61.6,2.6,"1,378",41.5,2.6,2010
North Carolina,Female,"3,678","3,505",68.8,2.4,"2,410",65.5,2.3,"1,631",44.3,2.5,2010
North Carolina,White alone,"5,164","4,853",68.9,2,"3,344",64.8,2,"2,279",44.1,2.1,2010
North Carolina,White non-Hispanic alone,"4,731","4,694",69.3,2,"3,254",68.8,2,"2,207",46.6,2.2,2010
North Carolina,Black alone,"1,438","1,420",61.3,4.7,871,60.5,4.7,582,40.5,4.7,2010
North Carolina,Asian alone,124,94,74.8,16.9,70,56.9,17,31,24.7,14.7,2010
North Carolina,Hispanic (of any race),469,182,57.7,9.1,105,22.4,17.3,80,17,8.2,2010
North Carolina,White alone or in combination,"5,225","4,913",68.8,2,"3,382",64.7,2,"2,287",43.8,2.1,2010
North Carolina,Black alone or in combination,"1,484","1,466",62.1,4.6,910,61.3,4.6,607,40.9,4.6,2010
North Carolina,Asian alone or in combination,139,109,70.5,16,77,55.4,16.6,34,24.6,13.9,2010
North Dakota,Total,488,477,75.6,2.3,361,73.9,2.3,266,54.5,2.6,2010
North Dakota,Male,243,239,73.9,3.4,177,72.7,3.3,132,54.2,3.8,2010
North Dakota,Female,245,239,77.3,3.2,184,75.2,3.2,134,54.8,3.7,2010
North Dakota,White alone,433,428,75.5,2.5,324,74.7,2.4,240,55.4,2.8,2010
North Dakota,White non-Hispanic alone,430,425,75.7,2.5,322,74.9,2.4,239,55.6,2.8,2010
North Dakota,Black alone,4,4,(B),(B),2,(B),(B),-,(B),(B),2010
North Dakota,Asian alone,7,-,(B),(B),-,(B),(B),-,(B),(B),2010
North Dakota,Hispanic (of any race),3,3,(B),(B),2,(B),(B),-,(B),(B),2010
North Dakota,White alone or in combination,439,434,75.4,2.4,327,74.6,2.4,241,54.9,2.8,2010
North Dakota,Black alone or in combination,6,6,(B),(B),3,(B),(B),-,(B),(B),2010
North Dakota,Asian alone or in combination,7,-,(B),(B),-,(B),(B),-,(B),(B),2010
Ohio,Total,"8,642","8,468",66.1,1.5,"5,601",64.8,1.5,"3,824",44.2,1.6,2010
Ohio,Male,"4,135","4,048",65.8,2.2,"2,664",64.4,2.2,"1,866",45.1,2.3,2010
Ohio,Female,"4,506","4,420",66.4,2.1,"2,936",65.2,2.1,"1,958",43.4,2.2,2010
Ohio,White alone,"7,474","7,396",66.4,1.6,"4,910",65.7,1.6,"3,382",45.2,1.7,2010
Ohio,White non-Hispanic alone,"7,316","7,288",66.5,1.7,"4,847",66.2,1.7,"3,344",45.7,1.7,2010
Ohio,Black alone,930,897,67.5,5.7,606,65.2,5.7,389,41.9,5.9,2010
Ohio,Asian alone,110,55,48.8,15.6,27,24.6,25.5,21,19.4,14.3,2010
Ohio,Hispanic (of any race),187,128,49.7,16.3,64,34.1,20.8,38,20.1,13.8,2010
Ohio,White alone or in combination,"7,575","7,488",66.1,1.6,"4,953",65.4,1.6,"3,408",45,1.7,2010
Ohio,Black alone or in combination,964,931,66.9,5.6,623,64.7,5.6,400,41.5,5.8,2010
Ohio,Asian alone or in combination,117,63,51.2,15.6,32,27.6,23.9,27,22.7,14.7,2010
Oklahoma,Total,"2,695","2,628",61,2.6,"1,603",59.5,2.6,"1,061",39.4,2.6,2010
Oklahoma,Male,"1,295","1,263",59.8,3.8,756,58.3,3.8,489,37.8,3.7,2010
Oklahoma,Female,"1,400","1,365",62,3.6,847,60.5,3.6,572,40.9,3.6,2010
Oklahoma,White alone,"2,015","1,983",62.2,3,"1,234",61.2,3,833,41.3,3,2010
Oklahoma,White non-Hispanic alone,"1,892","1,888",63.5,3,"1,200",63.4,3,818,43.2,3.1,2010
Oklahoma,Black alone,195,191,58.4,11.8,111,57,11.8,71,36.1,11.4,2010
Oklahoma,Asian alone,68,48,(B),(B),24,(B),(B),13,(B),(B),2010
Oklahoma,Hispanic (of any race),159,116,33.1,14.6,38,24.1,18.8,19,11.9,11,2010
Oklahoma,White alone or in combination,"2,236","2,197",62.7,2.8,"1,376",61.5,2.8,924,41.3,2.9,2010
Oklahoma,Black alone or in combination,216,212,56.5,11.2,120,55.3,11.3,72,33.2,10.6,2010
Oklahoma,Asian alone or in combination,76,56,51.4,19.3,29,38.3,23,16,20.4,16,2010
Oregon,Total,"2,974","2,830",70.8,2.4,"2,005",67.4,2.4,"1,594",53.6,2.6,2010
Oregon,Male,"1,455","1,383",69.5,3.5,962,66.1,3.5,781,53.7,3.7,2010
Oregon,Female,"1,520","1,447",72.1,3.4,"1,043",68.6,3.3,813,53.5,3.6,2010
Oregon,White alone,"2,725","2,612",71.3,2.5,"1,861",68.3,2.5,"1,493",54.8,2.7,2010
Oregon,White non-Hispanic alone,"2,544","2,513",72.3,2.5,"1,818",71.5,2.5,"1,462",57.5,2.8,2010
Oregon,Black alone,63,61,(B),(B),39,(B),(B),25,(B),(B),2010
Oregon,Asian alone,93,64,62.2,18.3,40,42.6,21.7,31,33.4,17.5,2010
Oregon,Hispanic (of any race),189,107,46.4,14.2,50,26.3,21.4,35,18.6,12.6,2010
Oregon,White alone or in combination,"2,775","2,662",71.2,2.5,"1,896",68.3,2.5,"1,522",54.9,2.7,2010
Oregon,Black alone or in combination,73,71,(B),(B),42,(B),(B),25,(B),(B),2010
Oregon,Asian alone or in combination,109,79,64.7,17.1,51,47.3,19.2,41,37.6,16.6,2010
Pennsylvania,Total,"9,631","9,339",64.6,1.5,"6,031",62.6,1.5,"4,104",42.6,1.5,2010
Pennsylvania,Male,"4,581","4,421",63.6,2.2,"2,812",61.4,2.2,"1,956",42.7,2.2,2010
Pennsylvania,Female,"5,050","4,918",65.5,2,"3,220",63.8,2,"2,148",42.5,2.1,2010
Pennsylvania,White alone,"8,435","8,318",65.2,1.6,"5,426",64.3,1.6,"3,674",43.6,1.6,2010
Pennsylvania,White non-Hispanic alone,"8,104","8,024",65.8,1.6,"5,281",65.2,1.6,"3,599",44.4,1.7,2010
Pennsylvania,Black alone,907,808,61.2,6,494,54.5,6.2,368,40.6,5.9,2010
Pennsylvania,Asian alone,173,113,53.5,13.7,60,34.8,17.8,30,17.2,10.9,2010
Pennsylvania,Hispanic (of any race),390,323,47.9,11.7,155,39.7,13.1,79,20.3,9.6,2010
Pennsylvania,White alone or in combination,"8,514","8,388",65.1,1.6,"5,462",64.1,1.6,"3,697",43.4,1.6,2010
Pennsylvania,Black alone or in combination,952,853,61.3,5.9,523,54.9,6.1,390,40.9,5.8,2010
Pennsylvania,Asian alone or in combination,189,120,52.4,13,63,33.2,17.3,32,17.1,10.4,2010
Rhode Island,Total,812,745,68.4,2.6,510,62.8,2.6,348,42.9,2.7,2010
Rhode Island,Male,387,350,68,3.8,238,61.5,3.8,168,43.4,3.9,2010
Rhode Island,Female,425,396,68.7,3.6,272,63.9,3.6,180,42.3,3.7,2010
Rhode Island,White alone,720,681,70.1,2.7,477,66.3,2.7,329,45.7,2.9,2010
Rhode Island,White non-Hispanic alone,649,637,72.2,2.7,460,70.8,2.7,320,49.3,3,2010
Rhode Island,Black alone,45,34,(B),(B),18,(B),(B),12,(B),(B),2010
Rhode Island,Asian alone,29,17,(B),(B),6,(B),(B),3,(B),(B),2010
Rhode Island,Hispanic (of any race),84,53,38.8,11.4,20,24.4,16.3,10,12.2,8.7,2010
Rhode Island,White alone or in combination,725,686,70.2,2.7,482,66.5,2.7,332,45.8,2.9,2010
Rhode Island,Black alone or in combination,49,37,(B),(B),21,(B),(B),13,(B),(B),2010
Rhode Island,Asian alone or in combination,29,17,(B),(B),6,(B),(B),3,(B),(B),2010
South Carolina,Total,"3,453","3,339",69,2.4,"2,304",66.7,2.4,"1,700",49.2,2.5,2010
South Carolina,Male,"1,635","1,577",66.9,3.5,"1,054",64.5,3.5,777,47.5,3.7,2010
South Carolina,Female,"1,818","1,762",70.9,3.2,"1,250",68.8,3.2,922,50.7,3.5,2010
South Carolina,White alone,"2,455","2,361",69.7,2.8,"1,646",67.1,2.8,"1,190",48.5,3,2010
South Carolina,White non-Hispanic alone,"2,355","2,327",70.2,2.8,"1,634",69.4,2.8,"1,188",50.4,3.1,2010
South Carolina,Black alone,898,898,68.6,5.6,616,68.6,5.6,482,53.7,6,2010
South Carolina,Asian alone,49,29,(B),(B),15,(B),(B),7,(B),(B),2010
South Carolina,Hispanic (of any race),112,45,32.8,15,15,13.3,32.6,4,3.6,8.2,2010
South Carolina,White alone or in combination,"2,498","2,403",69.4,2.8,"1,668",66.8,2.8,"1,204",48.2,3,2010
South Carolina,Black alone or in combination,918,918,68.7,5.5,631,68.7,5.5,495,53.9,5.9,2010
South Carolina,Asian alone or in combination,49,29,(B),(B),15,(B),(B),7,(B),(B),2010
South Dakota,Total,602,587,69.1,2.3,406,67.4,2.3,322,53.5,2.4,2010
South Dakota,Male,297,287,67.8,3.3,194,65.5,3.3,151,50.8,3.5,2010
South Dakota,Female,305,301,70.4,3.2,212,69.3,3.2,171,56.1,3.4,2010
South Dakota,White alone,554,543,70.1,2.4,380,68.7,2.4,304,54.9,2.5,2010
South Dakota,White non-Hispanic alone,539,537,70.4,2.4,378,70,2.4,301,55.9,2.6,2010
South Dakota,Black alone,7,4,(B),(B),2,(B),(B),1,(B),(B),2010
South Dakota,Asian alone,3,3,(B),(B),1,(B),(B),-,(B),(B),2010
South Dakota,Hispanic (of any race),19,10,(B),(B),6,(B),(B),3,(B),(B),2010
South Dakota,White alone or in combination,557,546,69.9,2.4,382,68.6,2.4,305,54.8,2.5,2010
South Dakota,Black alone or in combination,7,4,(B),(B),2,(B),(B),1,(B),(B),2010
South Dakota,Asian alone or in combination,3,3,(B),(B),1,(B),(B),-,(B),(B),2010
Tennesee,Total,"4,745","4,547",62.8,2.1,"2,854",60.1,2.1,"1,714",36.1,2.1,2010
Tennesee,Male,"2,278","2,155",61.1,3.1,"1,317",57.8,3.1,789,34.6,3,2010
Tennesee,Female,"2,466","2,392",64.2,2.9,"1,537",62.3,2.9,925,37.5,2.9,2010
Tennesee,White alone,"3,869","3,753",63,2.3,"2,365",61.1,2.4,"1,433",37,2.3,2010
Tennesee,White non-Hispanic alone,"3,722","3,694",63.1,2.4,"2,332",62.7,2.4,"1,419",38.1,2.4,2010
Tennesee,Black alone,716,666,62.3,6.7,415,58,6.8,242,33.8,6.4,2010
Tennesee,Asian alone,77,45,29.7,16.3,13,17.4,25.7,6,8.3,11.9,2010
Tennesee,Hispanic (of any race),160,72,52.1,15.7,37,23.3,27.7,19,11.8,11.9,2010
Tennesee,White alone or in combination,"3,935","3,819",63.2,2.3,"2,413",61.3,2.3,"1,460",37.1,2.3,2010
Tennesee,Black alone or in combination,722,672,61.7,6.7,415,57.4,6.8,242,33.5,6.4,2010
Tennesee,Asian alone or in combination,77,45,29.7,16.3,13,17.4,25.7,6,8.3,11.9,2010
Texas,Total,"17,847","15,403",61.6,1.1,"9,493",53.2,1.2,"5,600",31.4,1,2010
Texas,Male,"8,742","7,430",59.7,1.6,"4,438",50.8,1.7,"2,631",30.1,1.5,2010
Texas,Female,"9,105","7,973",63.4,1.6,"5,054",55.5,1.6,"2,969",32.6,1.5,2010
Texas,White alone,"14,741","12,609",62.3,1.2,"7,858",53.3,1.3,"4,631",31.4,1.2,2010
Texas,White non-Hispanic alone,"8,452","8,329",66.9,1.6,"5,571",65.9,1.6,"3,645",43.1,1.6,2010
Texas,Black alone,"2,060","1,993",62.3,3.9,"1,242",60.3,4,770,37.4,3.9,2010
Texas,Asian alone,798,567,46.3,6.3,262,32.9,8,126,15.8,4.9,2010
Texas,Hispanic (of any race),"6,403","4,376",53.3,2.9,"2,334",36.5,3.6,"1,012",15.8,2.2,2010
Texas,White alone or in combination,"14,914","12,774",62.4,1.2,"7,966",53.4,1.3,"4,697",31.5,1.1,2010
Texas,Black alone or in combination,"2,114","2,047",61.2,3.9,"1,252",59.2,3.9,773,36.5,3.8,2010
Texas,Asian alone or in combination,802,572,46.7,6.3,267,33.3,8,131,16.3,5,2010
Utah,Total,"1,929","1,800",60.8,2.3,"1,095",56.8,2.4,695,36,2.3,2010
Utah,Male,958,885,58.1,3.3,514,53.7,3.4,338,35.2,3.2,2010
Utah,Female,971,916,63.4,3.3,581,59.8,3.3,357,36.8,3.2,2010
Utah,White alone,"1,811","1,709",62.3,2.4,"1,064",58.8,2.4,676,37.4,2.4,2010
Utah,White non-Hispanic alone,"1,667","1,640",63.7,2.5,"1,045",62.7,2.5,664,39.8,2.5,2010
Utah,Black alone,19,9,(B),(B),6,(B),(B),2,(B),(B),2010
Utah,Asian alone,44,32,(B),(B),15,(B),(B),11,(B),(B),2010
Utah,Hispanic (of any race),151,71,29.1,9.1,21,13.7,17.5,13,8.9,7.5,2010
Utah,White alone or in combination,"1,818","1,717",62.4,2.4,"1,071",58.9,2.4,680,37.4,2.4,2010
Utah,Black alone or in combination,23,12,(B),(B),9,(B),(B),5,(B),(B),2010
Utah,Asian alone or in combination,44,32,(B),(B),15,(B),(B),11,(B),(B),2010
Vermont,Total,490,481,74,2.5,356,72.7,2.4,265,54,2.8,2010
Vermont,Male,238,233,72.7,3.6,169,71.2,3.6,126,53.1,4,2010
Vermont,Female,252,248,75.3,3.4,187,74.1,3.4,138,54.9,3.8,2010
Vermont,White alone,473,467,74.2,2.5,346,73.2,2.5,259,54.7,2.8,2010
Vermont,White non-Hispanic alone,469,464,74.3,2.5,345,73.6,2.5,257,54.9,2.8,2010
Vermont,Black alone,4,2,(B),(B),2,(B),(B),1,(B),(B),2010
Vermont,Asian alone,4,3,(B),(B),1,(B),(B),-,(B),(B),2010
Vermont,Hispanic (of any race),4,2,(B),(B),1,(B),(B),1,(B),(B),2010
Vermont,White alone or in combination,481,475,74.3,2.5,352,73.3,2.5,263,54.6,2.8,2010
Vermont,Black alone or in combination,4,3,(B),(B),3,(B),(B),1,(B),(B),2010
Vermont,Asian alone or in combination,6,5,(B),(B),2,(B),(B),-,(B),(B),2010
Virginia,Total,"5,873","5,544",64,1.9,"3,546",60.4,1.9,"2,257",38.4,1.9,2010
Virginia,Male,"2,812","2,632",62.2,2.8,"1,637",58.2,2.8,"1,047",37.2,2.7,2010
Virginia,Female,"3,061","2,913",65.5,2.6,"1,909",62.3,2.6,"1,210",39.5,2.6,2010
Virginia,White alone,"4,266","4,095",67.8,2.2,"2,775",65,2.2,"1,780",41.7,2.3,2010
Virginia,White non-Hispanic alone,"3,955","3,874",69.5,2.2,"2,693",68.1,2.2,"1,738",43.9,2.4,2010
Virginia,Black alone,"1,104","1,041",51.4,5.4,536,48.5,5.6,370,33.6,5.1,2010
Virginia,Asian alone,363,269,58.1,9.8,156,43,11.3,61,16.8,7.4,2010
Virginia,Hispanic (of any race),369,254,34.6,10.4,88,23.8,14,48,13,8.2,2010
Virginia,White alone or in combination,"4,348","4,176",67.6,2.2,"2,824",64.9,2.2,"1,811",41.6,2.2,2010
Virginia,Black alone or in combination,"1,167","1,104",52,5.3,575,49.3,5.4,392,33.6,5,2010
Virginia,Asian alone or in combination,392,297,60.6,9.5,180,46,10.7,75,19.2,7.5,2010
Washington,Total,"5,095","4,637",72.6,2,"3,367",66.1,2,"2,692",52.8,2.1,2010
Washington,Male,"2,501","2,266",70.8,2.9,"1,604",64.1,2.9,"1,289",51.6,3,2010
Washington,Female,"2,595","2,370",74.4,2.8,"1,763",68,2.7,"1,403",54.1,3,2010
Washington,White alone,"4,366","4,085",74.1,2.1,"3,028",69.3,2.1,"2,479",56.8,2.3,2010
Washington,White non-Hispanic alone,"3,942","3,844",76,2.1,"2,921",74.1,2.1,"2,405",61,2.4,2010
Washington,Black alone,157,134,44.8,14.2,60,38.1,15.8,47,30,13.4,2010
Washington,Asian alone,375,237,59.6,9.6,141,37.7,12.2,92,24.5,8.5,2010
Washington,Hispanic (of any race),461,259,42.4,9.5,110,23.8,14.6,77,16.7,8.3,2010
Washington,White alone or in combination,"4,506","4,215",74.2,2.1,"3,128",69.4,2,"2,527",56.1,2.2,2010
Washington,Black alone or in combination,190,167,51.2,13.2,85,44.9,14.2,49,25.9,11.7,2010
Washington,Asian alone or in combination,430,292,64.8,9.2,189,44,10.7,127,29.6,8.4,2010
West Virginia,Total,"1,420","1,418",62.3,2.3,883,62.2,2.3,581,40.9,2.3,2010
West Virginia,Male,686,685,59.3,3.4,406,59.2,3.4,266,38.8,3.3,2010
West Virginia,Female,734,733,65.1,3.2,477,65,3.2,315,42.9,3.3,2010
West Virginia,White alone,"1,360","1,359",63.1,2.4,857,63.1,2.4,561,41.2,2.4,2010
West Virginia,White non-Hispanic alone,"1,355","1,354",63.2,2.4,856,63.1,2.4,559,41.2,2.4,2010
West Virginia,Black alone,48,48,(B),(B),22,(B),(B),18,(B),(B),2010
West Virginia,Asian alone,4,3,(B),(B),-,(B),(B),-,(B),(B),2010
West Virginia,Hispanic (of any race),5,5,(B),(B),2,(B),(B),2,(B),(B),2010
West Virginia,White alone or in combination,"1,365","1,364",63,2.4,860,63,2.4,562,41.1,2.4,2010
West Virginia,Black alone or in combination,50,50,(B),(B),22,(B),(B),18,(B),(B),2010
West Virginia,Asian alone or in combination,4,3,(B),(B),-,(B),(B),-,(B),(B),2010
Wisconsin,Total,"4,291","4,156",70,2.1,"2,908",67.8,2.1,"2,258",52.6,2.3,2010
Wisconsin,Male,"2,105","2,024",67.2,3.1,"1,360",64.6,3.1,"1,059",50.3,3.3,2010
Wisconsin,Female,"2,185","2,132",72.6,2.9,"1,549",70.9,2.9,"1,199",54.9,3.2,2010
Wisconsin,White alone,"3,956","3,848",70.8,2.2,"2,723",68.8,2.2,"2,113",53.4,2.4,2010
Wisconsin,White non-Hispanic alone,"3,810","3,778",71.1,2.2,"2,688",70.5,2.2,"2,091",54.9,2.4,2010
Wisconsin,Black alone,204,193,58.5,12.6,113,55.4,12.9,89,43.9,12.6,2010
Wisconsin,Asian alone,68,51,(B),(B),29,(B),(B),23,(B),(B),2010
Wisconsin,Hispanic (of any race),181,96,55.7,15.9,53,29.4,23.9,38,20.8,14.2,2010
Wisconsin,White alone or in combination,"3,979","3,872",70.7,2.2,"2,739",68.8,2.2,"2,122",53.3,2.4,2010
Wisconsin,Black alone or in combination,206,196,59,12.5,116,56,12.7,89,43.3,12.5,2010
Wisconsin,Asian alone or in combination,70,53,(B),(B),31,(B),(B),25,(B),(B),2010
Wyoming,Total,411,402,59.6,2.7,239,58.2,2.7,190,46.1,2.7,2010
