State,Race and Hispanic origin,Total Population,Total Citizen Population,"Percent registered
(Citizen)",Margin of Error1,Total registered,"Percent registered
(Total)",Margin of Error,Total voted,"Percent voted
(Total)",Margin of Error,Year
MICHIGAN,Asian alone or in combination,255,157,61.7,11.5,97,37.8,14.7,75,29.5,10.8,2012
MINNESOTA,Total,"4,055","3,903",79,2,"3,085",76.1,1.9,"2,859",70.5,2.1,2012
MINNESOTA,Male,"1,993","1,921",77.9,2.9,"1,496",75.1,2.8,"1,374",68.9,3.1,2012
MINNESOTA,Female,"2,062","1,981",80.2,2.8,"1,589",77,2.7,"1,485",72,2.9,2012
MINNESOTA,White alone,"3,639","3,576",79.6,2,"2,846",78.2,2,"2,646",72.7,2.2,2012
MINNESOTA,.White non-Hispanic alone,"3,532","3,508",80.1,2,"2,808",79.5,2,"2,615",74,2.2,2012
MINNESOTA,Black alone,179,142,66.9,13.4,95,52.9,14.2,88,49.2,13.4,2012
MINNESOTA,Asian alone,174,125,87.6,13.8,110,63.1,11.1,98,56.2,14.1,2012
MINNESOTA,Hispanic (of any race),136,96,56.1,19.7,54,39.9,23.6,44,32.5,18.8,2012
MINNESOTA,White alone or in combination,"3,680","3,616",79.3,2,"2,868",77.9,2,"2,664",72.4,2.2,2012
MINNESOTA,Black alone or in combination,210,172,63.4,12.4,109,52.1,13.2,97,46.4,12.4,2012
MINNESOTA,Asian alone or in combination,186,138,83.5,13.4,115,61.7,11.9,99,53.4,13.7,2012
MISSISSIPPI,Total,"2,166","2,130",84.2,2,"1,794",82.8,1.9,"1,588",73.3,2.3,2012
MISSISSIPPI,Male,"1,019",995,82.8,3,824,80.9,2.9,710,69.7,3.5,2012
MISSISSIPPI,Female,"1,147","1,135",85.5,2.6,971,84.6,2.5,877,76.4,3,2012
MISSISSIPPI,White alone,"1,355","1,338",81.8,2.6,"1,094",80.7,2.6,951,70.2,3,2012
MISSISSIPPI,.White non-Hispanic alone,"1,321","1,321",82.4,2.5,"1,089",82.4,2.5,949,71.8,3,2012
MISSISSIPPI,Black alone,748,744,90.6,3.2,674,90.2,3.1,613,82,4.1,2012
MISSISSIPPI,Asian alone,26,10,(B),(B),5,(B),(B),2,(B),(B),2012
MISSISSIPPI,Hispanic (of any race),35,17,(B),(B),5,(B),(B),2,(B),(B),2012
MISSISSIPPI,White alone or in combination,"1,372","1,354",81.5,2.6,"1,104",80.5,2.5,962,70.1,3,2012
MISSISSIPPI,Black alone or in combination,758,755,90.8,3.1,685,90.4,3.1,624,82.3,4.1,2012
MISSISSIPPI,Asian alone or in combination,26,10,(B),(B),5,(B),(B),2,(B),(B),2012
MISSOURI,Total,"4,521","4,409",76.7,1.9,"3,384",74.8,1.9,"2,818",62.3,2.2,2012
MISSOURI,Male,"2,169","2,114",76.1,2.8,"1,608",74.1,2.8,"1,321",60.9,3.2,2012
MISSOURI,Female,"2,352","2,295",77.4,2.7,"1,776",75.5,2.6,"1,497",63.7,3,2012
MISSOURI,White alone,"3,887","3,830",76.3,2.1,"2,923",75.2,2.1,"2,452",63.1,2.3,2012
MISSOURI,.White non-Hispanic alone,"3,765","3,732",76.6,2.1,"2,857",75.9,2.1,"2,395",63.6,2.4,2012
MISSOURI,Black alone,484,465,80.3,7,374,77.2,6.7,313,64.7,7.9,2012
MISSOURI,Asian alone,67,30,(B),(B),23,(B),(B),20,(B),(B),2012
MISSOURI,Hispanic (of any race),140,104,68.6,20.1,71,50.9,21.6,63,45,20,2012
MISSOURI,White alone or in combination,"3,965","3,908",76.4,2.1,"2,987",75.3,2.1,"2,485",62.7,2.3,2012
MISSOURI,Black alone or in combination,501,482,80.4,6.8,388,77.4,6.6,318,63.6,7.9,2012
MISSOURI,Asian alone or in combination,72,35,(B),(B),26,(B),(B),23,(B),(B),2012
MONTANA,Total,768,754,73.3,2.3,553,72,2.3,495,64.5,2.4,2012
MONTANA,Male,379,375,70.1,3.3,263,69.3,3.3,238,62.7,3.5,2012
MONTANA,Female,389,380,76.3,3.1,290,74.5,3.1,258,66.2,3.4,2012
MONTANA,White alone,698,689,73.5,2.4,506,72.5,2.4,461,66.1,2.5,2012
MONTANA,.White non-Hispanic alone,688,680,73.6,2.4,500,72.7,2.4,457,66.4,2.5,2012
MONTANA,Black alone,2,-,(B),(B),-,(B),(B),-,(B),(B),2012
MONTANA,Asian alone,2,-,(B),(B),-,(B),(B),-,(B),(B),2012
MONTANA,Hispanic (of any race),15,13,(B),(B),8,(B),(B),7,(B),(B),2012
MONTANA,White alone or in combination,712,702,73.2,2.4,514,72.2,2.4,466,65.4,2.5,2012
MONTANA,Black alone or in combination,2,-,(B),(B),-,(B),(B),-,(B),(B),2012
MONTANA,Asian alone or in combination,2,-,(B),(B),-,(B),(B),-,(B),(B),2012
NEBRASKA,Total,"1,371","1,296",69.5,2.5,901,65.7,2.5,798,58.2,2.6,2012
NEBRASKA,Male,677,639,69,3.6,441,65.1,3.6,386,57.1,3.7,2012
NEBRASKA,Female,694,657,70,3.5,460,66.3,3.5,412,59.4,3.6,2012
NEBRASKA,White alone,"1,265","1,210",69.9,2.6,846,66.8,2.6,750,59.3,2.7,2012
NEBRASKA,.White non-Hispanic alone,"1,161","1,150",71.6,2.6,824,70.9,2.6,731,63,2.8,2012
NEBRASKA,Black alone,51,45,(B),(B),32,(B),(B),29,(B),(B),2012
NEBRASKA,Asian alone,31,18,(B),(B),7,(B),(B),5,(B),(B),2012
NEBRASKA,Hispanic (of any race),110,64,(B),12.6,27,25,(B),21,19.4,11.5,2012
NEBRASKA,White alone or in combination,"1,283","1,227",69.9,2.6,857,66.8,2.5,762,59.4,2.7,2012
NEBRASKA,Black alone or in combination,55,50,(B),(B),37,(B),(B),33,(B),(B),2012
NEBRASKA,Asian alone or in combination,32,18,(B),(B),8,(B),(B),6,(B),(B),2012
NEVADA,Total,"2,039","1,808",65,2.5,"1,176",57.7,2.6,"1,048",51.4,2.5,2012
NEVADA,Male,"1,015",910,63.1,3.5,574,56.5,3.6,511,50.3,3.6,2012
NEVADA,Female,"1,024",898,67,3.5,602,58.8,3.6,536,52.4,3.6,2012
NEVADA,White alone,"1,627","1,439",65.8,2.8,947,58.2,2.8,845,51.9,2.8,2012
NEVADA,.White non-Hispanic alone,"1,194","1,167",67.2,3.1,785,65.7,3.1,704,58.9,3.2,2012
NEVADA,Black alone,169,164,65.1,10.2,107,63.3,10.3,101,60.2,10.4,2012
NEVADA,Asian alone,152,115,71.9,11.6,82,54.4,12.1,67,44.5,11.6,2012
NEVADA,Hispanic (of any race),464,302,59.9,8.1,181,38.9,10.1,157,33.7,7.9,2012
NEVADA,White alone or in combination,"1,674","1,484",65.1,2.7,966,57.7,2.8,860,51.4,2.8,2012
NEVADA,Black alone or in combination,185,181,62.1,9.9,112,60.6,9.9,107,57.7,10,2012
NEVADA,Asian alone or in combination,164,127,70.8,11.2,90,54.8,11.6,73,44.7,11.2,2012
NEW HAMPSHIRE,Total,"1,028",991,75.9,2.4,752,73.1,2.3,688,66.9,2.5,2012
NEW HAMPSHIRE,Male,503,482,73.4,3.5,353,70.3,3.4,322,64,3.7,2012
NEW HAMPSHIRE,Female,525,509,78.2,3.2,398,75.8,3.1,366,69.7,3.4,2012
NEW HAMPSHIRE,White alone,980,958,76.1,2.4,730,74.5,2.4,670,68.4,2.5,2012
NEW HAMPSHIRE,.White non-Hispanic alone,952,935,76.4,2.4,715,75.1,2.4,655,68.8,2.6,2012
NEW HAMPSHIRE,Black alone,12,10,(B),(B),7,(B),(B),6,(B),(B),2012
NEW HAMPSHIRE,Asian alone,20,9,(B),(B),5,(B),(B),4,(B),(B),2012
NEW HAMPSHIRE,Hispanic (of any race),29,23,(B),(B),15,(B),(B),15,(B),(B),2012
NEW HAMPSHIRE,White alone or in combination,993,970,76.1,2.4,738,74.3,2.3,677,68.2,2.5,2012
NEW HAMPSHIRE,Black alone or in combination,14,11,(B),(B),8,(B),(B),7,(B),(B),2012
NEW HAMPSHIRE,Asian alone or in combination,23,10,(B),(B),6,(B),(B),4,(B),(B),2012
NEW JERSEY,Total,"6,730","5,929",73,1.8,"4,326",64.3,1.7,"3,670",54.5,1.8,2012
NEW JERSEY,Male,"3,215","2,795",70.9,2.6,"1,982",61.6,2.6,"1,676",52.1,2.7,2012
NEW JERSEY,Female,"3,514","3,134",74.8,2.4,"2,344",66.7,2.3,"1,994",56.7,2.5,2012
NEW JERSEY,White alone,"5,173","4,695",73.4,2,"3,448",66.6,1.9,"2,907",56.2,2.1,2012
NEW JERSEY,.White non-Hispanic alone,"4,145","4,030",75.3,2.1,"3,037",73.3,2,"2,556",61.7,2.3,2012
NEW JERSEY,Black alone,907,789,74.3,5.8,586,64.7,5.7,540,59.6,5.9,2012
NEW JERSEY,Asian alone,566,373,65.2,7.9,243,43,9.4,179,31.7,7.4,2012
NEW JERSEY,Hispanic (of any race),"1,170",773,60.6,6.8,468,40,8.3,395,33.8,6.5,2012
NEW JERSEY,White alone or in combination,"5,197","4,719",73.5,2,"3,466",66.7,1.9,"2,926",56.3,2.1,2012
NEW JERSEY,Black alone or in combination,922,804,74.8,5.7,602,65.3,5.6,549,59.6,5.9,2012
NEW JERSEY,Asian alone or in combination,577,384,65,7.8,250,43.3,9.3,186,32.2,7.4,2012
NEW MEXICO,Total,"1,553","1,426",68.6,2.5,978,63,2.5,878,56.5,2.5,2012
NEW MEXICO,Male,754,684,65.8,3.6,450,59.7,3.7,404,53.6,3.7,2012
NEW MEXICO,Female,799,742,71.2,3.4,528,66.1,3.3,474,59.3,3.5,2012
NEW MEXICO,White alone,"1,310","1,215",72,2.6,875,66.8,2.6,789,60.2,2.7,2012
NEW MEXICO,.White non-Hispanic alone,729,713,76.4,3.2,545,74.8,3.2,503,69,3.5,2012
NEW MEXICO,Black alone,43,39,(B),(B),24,(B),(B),24,(B),(B),2012
NEW MEXICO,Asian alone,39,12,(B),(B),3,(B),(B),3,(B),(B),2012
NEW MEXICO,Hispanic (of any race),624,544,64.1,6.3,349,55.9,6.5,306,49,6.3,2012
NEW MEXICO,White alone or in combination,"1,318","1,223",71.9,2.6,879,66.7,2.6,793,60.2,2.7,2012
NEW MEXICO,Black alone or in combination,43,39,(B),(B),24,(B),(B),24,(B),(B),2012
NEW MEXICO,Asian alone or in combination,43,16,(B),(B),3,(B),(B),3,(B),(B),2012
NEW YORK,Total,"15,066","13,082",67.9,1.2,"8,887",59,1.2,"7,675",50.9,1.2,2012
NEW YORK,Male,"7,151","6,194",65.9,1.8,"4,084",57.1,1.8,"3,503",49,1.8,2012
NEW YORK,Female,"7,916","6,887",69.7,1.7,"4,803",60.7,1.7,"4,172",52.7,1.7,2012
NEW YORK,White alone,"10,925","9,929",68.9,1.4,"6,837",62.6,1.4,"5,781",52.9,1.5,2012
NEW YORK,.White non-Hispanic alone,"8,992","8,672",70.1,1.5,"6,075",67.6,1.5,"5,152",57.3,1.6,2012
NEW YORK,Black alone,"2,482","2,103",73.3,3.6,"1,542",62.1,3.6,"1,456",58.7,3.6,2012
NEW YORK,Asian alone,"1,442",848,45.3,4.5,384,26.6,6.6,333,23.1,4.3,2012
NEW YORK,Hispanic (of any race),"2,363","1,548",63.5,4.9,983,41.6,5.9,835,35.3,4.7,2012
NEW YORK,White alone or in combination,"11,077","10,074",68.7,1.4,"6,920",62.5,1.4,"5,847",52.8,1.4,2012
NEW YORK,Black alone or in combination,"2,562","2,177",73.2,3.5,"1,594",62.2,3.5,"1,503",58.7,3.6,2012
NEW YORK,Asian alone or in combination,"1,476",882,47,4.5,414,28.1,6.5,354,24,4.3,2012
NORTH CAROLINA,Total,"7,265","6,712",78.9,1.6,"5,295",72.9,1.5,"4,624",63.7,1.7,2012
NORTH CAROLINA,Male,"3,439","3,125",76.8,2.3,"2,401",69.8,2.3,"2,103",61.2,2.5,2012
NORTH CAROLINA,Female,"3,826","3,587",80.7,2.1,"2,894",75.7,2,"2,521",65.9,2.3,2012
NORTH CAROLINA,White alone,"5,453","4,966",77.5,1.9,"3,848",70.6,1.8,"3,276",60.1,2,2012
NORTH CAROLINA,.White non-Hispanic alone,"4,898","4,820",77.9,1.8,"3,755",76.7,1.8,"3,194",65.2,2,2012
NORTH CAROLINA,Black alone,"1,529","1,501",85.3,3.4,"1,279",83.7,3.3,"1,203",78.7,3.8,2012
NORTH CAROLINA,Asian alone,95,57,(B),18.6,34,35.4,(B),34,35.4,18.6,2012
NORTH CAROLINA,Hispanic (of any race),603,169,68,7.5,115,19.1,16.9,95,15.7,7,2012
NORTH CAROLINA,White alone or in combination,"5,520","5,033",77.6,1.8,"3,905",70.8,1.8,"3,325",60.2,2,2012
NORTH CAROLINA,Black alone or in combination,"1,557","1,529",85.2,3.4,"1,303",83.7,3.3,"1,227",78.8,3.8,2012
NORTH CAROLINA,Asian alone or in combination,103,65,(B),18.3,42,40.4,(B),42,40.4,18.3,2012
NORTH DAKOTA,Total,528,514,74.5,2.3,383,72.5,2.3,328,62.2,2.5,2012
NORTH DAKOTA,Male,263,256,74.9,3.2,192,73,3.2,165,62.8,3.5,2012
NORTH DAKOTA,Female,265,258,74.1,3.2,191,72.1,3.2,163,61.6,3.5,2012
NORTH DAKOTA,White alone,471,466,75.9,2.3,354,75.1,2.3,305,64.8,2.6,2012
NORTH DAKOTA,.White non-Hispanic alone,457,454,76.4,2.4,347,75.8,2.3,299,65.4,2.6,2012
NORTH DAKOTA,Black alone,6,4,(B),(B),2,(B),(B),2,(B),(B),2012
NORTH DAKOTA,Asian alone,7,1,(B),(B),-,(B),(B),-,(B),(B),2012
NORTH DAKOTA,Hispanic (of any race),16,14,(B),(B),7,(B),(B),6,(B),(B),2012
NORTH DAKOTA,White alone or in combination,475,469,76,2.3,357,75.2,2.3,308,64.8,2.6,2012
NORTH DAKOTA,Black alone or in combination,6,4,(B),(B),3,(B),(B),3,(B),(B),2012
NORTH DAKOTA,Asian alone or in combination,7,1,(B),(B),-,(B),(B),-,(B),(B),2012
OHIO,Total,"8,750","8,550",71.1,1.5,"6,076",69.4,1.5,"5,395",61.7,1.6,2012
OHIO,Male,"4,175","4,074",68.7,2.2,"2,798",67,2.2,"2,463",59,2.3,2012
OHIO,Female,"4,576","4,476",73.2,2,"3,278",71.6,2,"2,932",64.1,2.1,2012
OHIO,White alone,"7,473","7,373",70.5,1.6,"5,201",69.6,1.6,"4,565",61.1,1.7,2012
OHIO,.White non-Hispanic alone,"7,291","7,262",70.5,1.6,"5,120",70.2,1.6,"4,498",61.7,1.7,2012
OHIO,Black alone,"1,028",975,74.2,5.2,723,70.3,5.1,699,68,5.3,2012
OHIO,Asian alone,104,60,(B),18.3,41,40,(B),38,36.4,17.9,2012
OHIO,Hispanic (of any race),252,173,67,14.8,116,45.9,16.9,98,39,14.5,2012
OHIO,White alone or in combination,"7,590","7,486",70.7,1.6,"5,291",69.7,1.6,"4,640",61.1,1.7,2012
OHIO,Black alone or in combination,"1,088","1,035",74.7,5,773,71.1,4.9,742,68.2,5.1,2012
OHIO,Asian alone or in combination,126,83,57.5,16.4,48,37.7,20.6,44,34.7,16.1,2012
OKLAHOMA,Total,"2,808","2,733",66.1,2.5,"1,806",64.3,2.5,"1,431",51,2.6,2012
OKLAHOMA,Male,"1,358","1,319",63.3,3.6,835,61.5,3.6,656,48.3,3.7,2012
OKLAHOMA,Female,"1,449","1,414",68.6,3.4,970,66.9,3.4,775,53.5,3.6,2012
OKLAHOMA,White alone,"2,072","2,018",67.6,2.9,"1,364",65.8,2.9,"1,101",53.1,3,2012
OKLAHOMA,.White non-Hispanic alone,"1,931","1,925",69.2,2.9,"1,331",68.9,2.9,"1,076",55.7,3.1,2012
OKLAHOMA,Black alone,191,187,62.2,11.7,116,61.1,11.8,102,53.6,12,2012
OKLAHOMA,Asian alone,58,41,(B),(B),25,(B),(B),22,(B),(B),2012
OKLAHOMA,Hispanic (of any race),174,127,41.8,15,53,30.4,18.9,36,20.9,13.3,2012
OKLAHOMA,White alone or in combination,"2,285","2,231",67.3,2.7,"1,501",65.7,2.7,"1,199",52.5,2.9,2012
OKLAHOMA,Black alone or in combination,223,220,63.1,10.8,139,62.1,10.8,121,54.2,11.1,2012
OKLAHOMA,Asian alone or in combination,72,55,(B),(B),32,(B),(B),25,(B),(B),2012
OREGON,Total,"2,998","2,806",74.3,2.4,"2,086",69.6,2.3,"1,897",63.3,2.5,2012
OREGON,Male,"1,480","1,377",71.9,3.5,990,66.9,3.4,893,60.3,3.6,2012
OREGON,Female,"1,518","1,429",76.6,3.3,"1,095",72.2,3.2,"1,004",66.1,3.4,2012
OREGON,White alone,"2,633","2,505",76,2.5,"1,903",72.3,2.4,"1,733",65.8,2.6,2012
OREGON,.White non-Hispanic alone,"2,438","2,405",76.9,2.4,"1,849",75.9,2.4,"1,688",69.2,2.6,2012
OREGON,Black alone,57,40,(B),(B),32,(B),(B),26,(B),(B),2012
OREGON,Asian alone,101,71,(B),14.9,23,22.5,(B),23,22.5,14.9,2012
OREGON,Hispanic (of any race),226,121,57.2,13.6,69,30.6,20,60,26.7,13.1,2012
OREGON,White alone or in combination,"2,728","2,594",75.7,2.4,"1,965",72,2.4,"1,786",65.5,2.6,2012
OREGON,Black alone or in combination,76,55,(B),19.6,36,47.5,(B),28,36.9,19,2012
OREGON,Asian alone or in combination,136,98,39.4,13.8,39,28.4,17.6,39,28.4,13.8,2012
PENNSYLVANIA,Total,"9,847","9,452",71.9,1.4,"6,795",69,1.4,"5,824",59.1,1.5,2012
PENNSYLVANIA,Male,"4,727","4,532",71,2,"3,217",68,2,"2,740",58,2.2,2012
PENNSYLVANIA,Female,"5,120","4,919",72.7,1.9,"3,578",69.9,1.9,"3,084",60.2,2.1,2012
PENNSYLVANIA,White alone,"8,382","8,228",72.3,1.5,"5,951",71,1.5,"5,074",60.5,1.6,2012
PENNSYLVANIA,.White non-Hispanic alone,"7,994","7,901",73.1,1.5,"5,779",72.3,1.5,"4,937",61.8,1.6,2012
PENNSYLVANIA,Black alone,"1,006",940,71.8,5.4,675,67,5.3,614,61,5.6,2012
PENNSYLVANIA,Asian alone,272,110,61.7,10,68,25,17.5,53,19.3,9.1,2012
PENNSYLVANIA,Hispanic (of any race),501,407,55.3,10.5,225,45,11.6,184,36.7,10.2,2012
PENNSYLVANIA,White alone or in combination,"8,482","8,327",72.1,1.5,"6,002",70.8,1.5,"5,118",60.3,1.6,2012
PENNSYLVANIA,Black alone or in combination,"1,078","1,012",71.6,5.2,725,67.2,5.1,653,60.6,5.4,2012
PENNSYLVANIA,Asian alone or in combination,295,133,55.7,9.6,74,25.1,16.3,58,19.9,8.8,2012
RHODE ISLAND,Total,817,751,73.5,2.5,552,67.5,2.5,469,57.4,2.7,2012
RHODE ISLAND,Male,384,352,72,3.7,254,66.1,3.7,212,55.3,3.9,2012
RHODE ISLAND,Female,434,399,74.8,3.4,298,68.8,3.3,257,59.3,3.6,2012
RHODE ISLAND,White alone,713,673,74,2.6,497,69.7,2.6,420,58.9,2.8,2012
RHODE ISLAND,.White non-Hispanic alone,646,632,74.7,2.7,472,73,2.7,400,61.9,2.9,2012
RHODE ISLAND,Black alone,50,43,(B),(B),33,(B),(B),30,(B),(B),2012
RHODE ISLAND,Asian alone,25,16,(B),(B),6,(B),(B),5,(B),(B),2012
RHODE ISLAND,Hispanic (of any race),95,57,(B),12.1,37,39.1,(B),32,33.6,11.8,2012
RHODE ISLAND,White alone or in combination,734,686,74.1,2.6,508,69.2,2.6,430,58.5,2.8,2012
RHODE ISLAND,Black alone or in combination,65,54,(B),(B),41,(B),(B),37,(B),(B),2012
RHODE ISLAND,Asian alone or in combination,31,21,(B),(B),10,(B),(B),9,(B),(B),2012
SOUTH CAROLINA,Total,"3,516","3,380",73.3,2.3,"2,479",70.5,2.3,"2,187",62.2,2.4,2012
SOUTH CAROLINA,Male,"1,660","1,580",69.4,3.5,"1,096",66.1,3.4,940,56.6,3.6,2012
SOUTH CAROLINA,Female,"1,856","1,801",76.8,3,"1,382",74.5,3,"1,247",67.2,3.2,2012
SOUTH CAROLINA,White alone,"2,508","2,400",72.7,2.7,"1,745",69.6,2.7,"1,515",60.4,2.9,2012
SOUTH CAROLINA,.White non-Hispanic alone,"2,403","2,363",73,2.7,"1,724",71.7,2.7,"1,500",62.4,2.9,2012
SOUTH CAROLINA,Black alone,919,911,75.8,5.1,691,75.1,5.1,631,68.7,5.5,2012
SOUTH CAROLINA,Asian alone,48,30,(B),(B),17,(B),(B),17,(B),(B),2012
SOUTH CAROLINA,Hispanic (of any race),114,37,(B),17.1,21,18.7,(B),16,13.6,15,2012
SOUTH CAROLINA,White alone or in combination,"2,538","2,429",72.5,2.7,"1,760",69.4,2.7,"1,529",60.2,2.9,2012
SOUTH CAROLINA,Black alone or in combination,935,927,75.9,5.1,703,75.2,5.1,644,68.8,5.4,2012
SOUTH CAROLINA,Asian alone or in combination,48,30,(B),(B),17,(B),(B),17,(B),(B),2012
SOUTH DAKOTA,Total,616,607,74.8,2.1,454,73.7,2.1,370,60.1,2.4,2012
SOUTH DAKOTA,Male,304,300,73.3,3.1,220,72.3,3.1,180,59.1,3.4,2012
SOUTH DAKOTA,Female,312,307,76.3,2.9,235,75.1,2.9,191,61.1,3.3,2012
SOUTH DAKOTA,White alone,541,536,75.6,2.2,405,74.9,2.2,341,63,2.5,2012
SOUTH DAKOTA,.White non-Hispanic alone,527,526,76.1,2.2,400,75.9,2.2,338,64.2,2.5,2012
SOUTH DAKOTA,Black alone,6,5,(B),(B),3,(B),(B),-,(B),(B),2012
SOUTH DAKOTA,Asian alone,4,1,(B),(B),1,(B),(B),-,(B),(B),2012
SOUTH DAKOTA,Hispanic (of any race),16,13,(B),(B),6,(B),(B),3,(B),(B),2012
SOUTH DAKOTA,White alone or in combination,550,545,75.4,2.2,411,74.7,2.2,343,62.5,2.5,2012
SOUTH DAKOTA,Black alone or in combination,9,8,(B),(B),4,(B),(B),2,(B),(B),2012
SOUTH DAKOTA,Asian alone or in combination,4,1,(B),(B),1,(B),(B),-,(B),(B),2012
TENNESSEE,Total,"4,849","4,678",68.6,2,"3,210",66.2,2,"2,606",53.7,2.1,2012
TENNESSEE,Male,"2,300","2,203",65,3,"1,432",62.3,3,"1,172",50.9,3.1,2012
TENNESSEE,Female,"2,548","2,475",71.8,2.7,"1,778",69.8,2.7,"1,434",56.3,2.9,2012
TENNESSEE,White alone,"3,925","3,836",68.3,2.2,"2,621",66.8,2.2,"2,098",53.4,2.4,2012
TENNESSEE,.White non-Hispanic alone,"3,768","3,746",68.3,2.3,"2,559",67.9,2.3,"2,052",54.5,2.4,2012
TENNESSEE,Black alone,768,722,71.1,6.1,513,66.8,6.1,441,57.4,6.5,2012
TENNESSEE,Asian alone,50,20,(B),(B),13,(B),(B),13,(B),(B),2012
TENNESSEE,Hispanic (of any race),241,134,79.7,15,107,44.4,16.3,84,34.7,14.4,2012
TENNESSEE,White alone or in combination,"3,996","3,907",68.3,2.2,"2,669",66.8,2.2,"2,136",53.5,2.4,2012
TENNESSEE,Black alone or in combination,782,735,71.6,6.1,527,67.4,6,450,57.6,6.4,2012
TENNESSEE,Asian alone or in combination,70,41,(B),(B),33,(B),(B),33,(B),(B),2012
TEXAS,Total,"18,642","16,062",66.9,1.1,"10,749",57.7,1.1,"8,643",46.4,1.1,2012
TEXAS,Male,"9,046","7,719",64.5,1.6,"4,977",55,1.6,"3,925",43.4,1.6,2012
TEXAS,Female,"9,596","8,344",69.2,1.5,"5,772",60.1,1.5,"4,719",49.2,1.5,2012
TEXAS,White alone,"15,029","12,989",66.5,1.2,"8,643",57.5,1.2,"6,900",45.9,1.2,2012
TEXAS,.White non-Hispanic alone,"8,512","8,360",73,1.5,"6,101",71.7,1.5,"5,087",59.8,1.6,2012
TEXAS,Black alone,"2,213","2,144",73.2,3.5,"1,569",70.9,3.5,"1,352",61.1,3.8,2012
TEXAS,Asian alone,900,506,59.1,6,299,33.2,8.3,214,23.8,5.4,2012
TEXAS,Hispanic (of any race),"6,831","4,867",54.5,2.8,"2,652",38.8,3.4,"1,890",27.7,2.6,2012
TEXAS,White alone or in combination,"15,200","13,144",66.6,1.2,"8,749",57.6,1.2,"6,968",45.8,1.2,2012
TEXAS,Black alone or in combination,"2,293","2,207",72.8,3.5,"1,606",70,3.5,"1,380",60.2,3.7,2012
TEXAS,Asian alone or in combination,909,515,59.2,6,305,33.5,8.3,220,24.2,5.4,2012
UTAH,Total,"1,917","1,793",63.5,2.3,"1,138",59.4,2.4,"1,022",53.3,2.4,2012
UTAH,Male,940,869,62.4,3.3,543,57.8,3.4,494,52.6,3.4,2012
UTAH,Female,977,924,64.4,3.2,595,60.9,3.3,528,54,3.3,2012
UTAH,White alone,"1,780","1,683",64.7,2.4,"1,089",61.2,2.4,989,55.6,2.4,2012
UTAH,.White non-Hispanic alone,"1,561","1,546",66.6,2.5,"1,030",66,2.5,943,60.4,2.6,2012
UTAH,Black alone,23,18,(B),(B),9,(B),(B),9,(B),(B),2012
UTAH,Asian alone,57,37,(B),(B),20,(B),(B),12,(B),(B),2012
UTAH,Hispanic (of any race),233,151,40.1,9.4,61,26.1,13,49,20.9,8.7,2012
UTAH,White alone or in combination,"1,808","1,712",64.1,2.4,"1,097",60.7,2.4,997,55.1,2.4,2012
UTAH,Black alone or in combination,34,28,(B),(B),11,(B),(B),11,(B),(B),2012
UTAH,Asian alone or in combination,59,40,(B),(B),22,(B),(B),14,(B),(B),2012
VERMONT,Total,496,487,73.4,2.5,357,72,2.5,308,62.1,2.7,2012
VERMONT,Male,241,237,70.7,3.6,168,69.8,3.6,146,60.6,3.9,2012
VERMONT,Female,255,249,75.9,3.4,189,74.2,3.3,162,63.5,3.7,2012
VERMONT,White alone,470,464,73.5,2.5,341,72.6,2.5,293,62.4,2.7,2012
VERMONT,.White non-Hispanic alone,466,461,73.6,2.5,339,72.8,2.5,291,62.5,2.7,2012
VERMONT,Black alone,5,5,(B),(B),3,(B),(B),3,(B),(B),2012
VERMONT,Asian alone,7,4,(B),(B),4,(B),(B),3,(B),(B),2012
VERMONT,Hispanic (of any race),6,5,(B),(B),3,(B),(B),3,(B),(B),2012
VERMONT,White alone or in combination,480,474,73.4,2.5,348,72.5,2.5,300,62.5,2.7,2012
VERMONT,Black alone or in combination,6,6,(B),(B),3,(B),(B),3,(B),(B),2012
VERMONT,Asian alone or in combination,8,5,(B),(B),4,(B),(B),4,(B),(B),2012
VIRGINIA,Total,"6,094","5,645",74.6,1.8,"4,210",69.1,1.7,"3,778",62,1.9,2012
VIRGINIA,Male,"2,890","2,648",72.9,2.6,"1,931",66.8,2.6,"1,709",59.1,2.7,2012
VIRGINIA,Female,"3,204","2,998",76,2.4,"2,279",71.1,2.3,"2,069",64.6,2.5,2012
VIRGINIA,White alone,"4,496","4,245",75.9,2,"3,222",71.7,2,"2,872",63.9,2.1,2012
VIRGINIA,.White non-Hispanic alone,"4,169","4,114",75.8,2,"3,118",74.8,2,"2,778",66.6,2.2,2012
VIRGINIA,Black alone,"1,133","1,063",72.6,5,772,68.1,4.9,715,63.1,5.2,2012
VIRGINIA,Asian alone,316,223,61.1,10.5,136,43.1,12.3,118,37.3,10.3,2012
VIRGINIA,Hispanic (of any race),375,154,73.6,11.1,114,30.3,16.6,103,27.5,10.8,2012
VIRGINIA,White alone or in combination,"4,594","4,329",75.7,2,"3,278",71.4,1.9,"2,925",63.7,2.1,2012
VIRGINIA,Black alone or in combination,"1,206","1,125",72,4.9,810,67.2,4.8,753,62.4,5,2012
VIRGINIA,Asian alone or in combination,332,236,61.2,10.3,144,43.5,12,126,38,10,2012
WASHINGTON,Total,"5,230","4,832",73.1,2,"3,533",67.6,1.9,"3,172",60.7,2,2012
